団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
011002,北海道札幌市,,62.5,62.3,62.1,65.4,66.8,68.3,68.9,67.8
012025,北海道函館市,,52.9,52.8,51.8,52.3,53.4,54.6,55.8,56.9
012033,北海道小樽市,,55.8,,,,56.5,58.2,59.6,61.1
012041,北海道旭川市,38.6,40.3,41.9,43.6,45.3,47,48.7,50.4,52.1
012050,北海道室蘭市,50.8,51.2,52.3,54.5,55.5,57.1,57.9,58.2,58.4
012068,北海道釧路市,,53.4,55.3,57.1,59,60.9,62.7,64.5,65.8
012076,北海道帯広市,,45.5,46.9,48.1,49.6,51,52.4,53.9,55.3
012084,北海道北見市,47.8,49.5,51.2,52.9,54.6,56.3,57.1,58.8,59.5
012092,北海道夕張市,,48.5,50.2,51.8,53.4,55,56,57.5,59.1
012106,北海道岩見沢市,,56.2,57.6,59.8,61.3,62.6,64.2,65.7,66.4
012114,北海道網走市,,61.5,63.2,65,66.7,68.3,68.3,73,73
012122,北海道留萌市,42.3,43.5,44.6,45.8,46.8,46.7,46,47.2,47.9
012131,北海道苫小牧市,42.6,43.9,45,46.6,48.2,49.8,49.8,52,51.7
012149,北海道稚内市,,53.1,54,55.5,57.2,58.9,60.5,61.8,62.8
012157,北海道美唄市,,0,1.7,0.6,1.3,1.9,3.3,5.2,5
012165,北海道芦別市,46.2,47.7,48.9,48.8,50.5,52.1,53.6,54.7,56.1
012173,北海道江別市,,53.2,54.7,56.2,57.4,58.6,59.8,60.5,62.2
012181,北海道赤平市,35.9,42.8,44.6,45.8,46.9,48.5,48.5,50.5,51.8
012190,北海道紋別市,54,36.9,35,38.7,36.8,34.3,36,38.5,33.6
012203,北海道士別市,50.6,52.3,53.6,55,56.4,57.5,59,60.5,61.8
012211,北海道名寄市,59.2,60.9,62.6,64.1,65.7,66.9,68.5,69.9,71.3
012220,北海道三笠市,100,99,98.2,98.3,98,97,96.7,96.7,94.2
012238,北海道根室市,57.7,59.6,59.3,60.6,61.7,62.8,62.5,63.9,65.8
012246,北海道千歳市,50.8,51,52.7,54.1,55.4,56.7,48.9,50.2,50.6
012254,北海道滝川市,,,,,,,,,
012262,北海道砂川市,47.2,49,50.7,52.3,54,53.6,55,56.6,57
012271,北海道歌志内市,60.5,60.7,62.1,63.6,66.5,67.9,67.9,70.8,72.3
012289,北海道深川市,,52.6,,,,58.7,59.9,62.2,63.9
012297,北海道富良野市,,,51.8,54.1,55.8,57.3,57.2,60.3,60.1
012301,北海道登別市,53.9,56.7,58.3,59.8,61.4,62.9,62.8,64.1,65.4
012319,北海道恵庭市,45,46.1,47.7,49.2,50.5,51.9,53.4,54.7,55.5
012335,北海道伊達市,50.6,50.7,51.9,53.1,54.5,55.4,55.6,55.4,54.2
012343,北海道北広島市,,55.5,56.6,57.5,58,56.7,58.4,59.3,59.6
012351,北海道石狩市,52,53.6,54.3,55.8,57.1,57.2,58.8,60.2,61.4
012360,北海道北斗市,37,38.4,39.4,40.1,41.5,42.6,43.7,44.9,46.1
013030,北海道当別町,,99.7,99.7,99.5,99.4,98.6,98.1,97.5,97.6
013048,北海道新篠津村,52.2,52.8,54.5,56.2,55.3,56.6,57.5,58.3,60
013315,北海道松前町,84.4,,80.9,81.2,81.1,79.8,77.8,76.4,75.3
013323,北海道福島町,58.5,58.8,58.1,59.7,60.3,62.3,63.7,65.2,66.3
013331,北海道知内町,,,,,61.3,62,61.7,62.3,64
013340,北海道木古内町,61.3,69,61.1,62.5,64,64.9,66.3,67.6,68.9
013374,北海道七飯町,,47.9,49,50.6,52.3,54,55.7,55.1,56
013439,北海道鹿部町,,50.2,51.2,51.1,53.1,54.7,58,59.6,58.2
013455,北海道森町,49.4,47.9,47.3,45.4,43.2,43.2,39.7,41.4,43
013463,北海道八雲町,53,54.4,55.9,57.3,58.8,60.1,61.6,63,64.5
013471,北海道長万部町,58.6,60.3,62,63.3,64.8,66.6,68.3,69.1,70.6
013617,北海道江差町,64.6,65.6,,,,62.7,60.6,51,47.5
013625,北海道上ノ国町,52.6,,55.7,57.4,58.9,60.4,60.9,62.1,62.6
013633,北海道厚沢部町,73.2,72.4,72.4,71.6,72.2,72.8,73.6,74.8,74.8
013641,北海道乙部町,44.2,45.8,46.9,49,49.1,50,51.6,53,45.8
013676,北海道奥尻町,,48.8,46.5,49.9,51.5,51.8,52.1,53.2,53.2
013706,北海道今金町,54.8,57.3,60.4,61.8,61.3,62.6,63.8,64.8,65.1
013714,北海道せたな町,,64.7,66.6,68.2,69.4,69.9,71.2,72.2,73.1
013919,北海道島牧村,,55.3,56.3,56.5,57.6,52.5,51.3,53,53
013927,北海道寿都町,45.2,44.4,46.1,47.7,49.4,51.1,52.7,54.4,56.1
013935,北海道黒松内町,51.1,50.9,,53.9,55.3,56.6,58.1,57.8,60.9
013943,北海道蘭越町,33.8,33.8,36.8,38.2,38.2,38.3,38.6,40.3,40.9
013951,北海道ニセコ町,32.6,47.8,48.6,49.5,50.5,52.9,52.6,53.1,54
013960,北海道真狩村,51.1,,,,,59.5,61.2,62.9,64.6
013978,北海道留寿都村,,,,,,,,,
013986,北海道喜茂別町,,77.3,77.9,78.1,78.5,76.8,78.1,78.6,79.9
013994,北海道京極町,64.2,0,0,64.2,65.7,67.5,76.4,77.6,78.7
014001,北海道倶知安町,56.2,57.9,,61.1,60.6,61.1,54.4,54.7,56
014010,北海道共和町,52.5,,,57.1,58.8,64.4,58.7,60.1,59.6
014028,北海道岩内町,39.2,,,45.8,45.6,46.9,48.6,47.8,49.5
014036,北海道泊村,,77.3,72.6,74.7,68,69.8,71.6,73.5,75.3
014044,北海道神恵内村,,,48.7,49,50.8,53.2,55,56.9,58.7
014052,北海道積丹町,,,1.5,2.7,4.1,5.5,6.6,7.6,10.3
014061,北海道古平町,64,62.2,61.8,62.5,,68.7,69.8,69.6,70.7
014079,北海道仁木町,68.6,69.5,69.5,70.8,70,68.7,69.5,70,70.7
014087,北海道余市町,44.4,,46.9,48.3,49.7,51.6,51.7,52.9,53.8
014095,北海道赤井川村,,69.3,71,71.8,70.8,72.9,72.3,71.7,73
014231,北海道南幌町,,36,37.7,39.3,40.7,42.2,43.7,45.2,46.8
014249,北海道奈井江町,53.3,,,55.2,57.1,59,60.9,62.8,66.5
014257,北海道上砂川町,76.8,77.9,79,79.9,80.7,81.5,82.3,83.1,83.9
014273,北海道由仁町,27.9,29.6,31.2,,34.1,35.7,39.1,39,40.7
014281,北海道長沼町,55.6,55.6,,59.1,60.9,62.6,64.5,66.2,67.8
014290,北海道栗山町,51.4,50.6,15,24.1,25.8,48.9,50.3,51.7,53.2
014303,北海道月形町,,53.3,55,55,54.6,56.3,54.7,56.4,56.4
014311,北海道浦臼町,,,,5.1,6.8,7.9,8.7,9.5,11
014320,北海道新十津川町,48.8,52.5,54.3,55.9,57.7,59.4,61.2,62.5,63.9
014338,北海道妹背牛町,52.2,52.8,54.1,53.2,54.8,55.9,57.1,57.4,58.2
014346,北海道秩父別町,,45.1,46.7,48.1,49.2,50.4,51.7,52.7,54.2
014362,北海道雨竜町,,55.6,96.3,85.1,73.5,74.3,77.4,60.5,62.1
014371,北海道北竜町,,62,61.4,62,63.2,64.4,61.6,60.9,60.1
014389,北海道沼田町,46.3,47.3,47.3,49,50.3,49,53.6,55.9,57.5
014524,北海道鷹栖町,59.2,60.7,61.3,61.3,61.3,61.9,62,63.7,63.8
014532,北海道東神楽町,8.1,8.4,,10.9,11.1,12.2,12.9,14.7,16.5
014541,北海道当麻町,64,,,69,68.6,71.7,72.6,74.3,75.6
014559,北海道比布町,,44.5,46.1,47.6,68.6,51,52.6,54.3,55.9
014567,北海道愛別町,43.9,44.1,45.7,48.5,49.9,51.2,52.9,54.6,56.3
014575,北海道上川町,67.4,79.1,,72.8,74.2,75.4,76.7,77.8,79
014583,北海道東川町,,,,,,56.2,52.6,45.2,43.9
014591,北海道美瑛町,39.8,54.9,56.3,54.4,59.7,54.4,52.3,64.8,56.6
014605,北海道上富良野町,43.1,44.7,46.3,48,49.3,50.4,51.6,53,54.3
014613,北海道中富良野町,,51.3,53,54.7,56.3,58,59.7,61.3,62.9
014621,北海道南富良野町,60.7,60.7,68.8,70.1,69.9,71.5,73.1,74.7,75.8
014630,北海道占冠村,77.7,76,,,76,73.8,75.4,76.9,78.3
014648,北海道和寒町,47.9,50.3,51.7,52.9,53.7,55.2,56.3,57,58.1
014656,北海道剣淵町,51.7,53.4,55.1,56.5,58.2,59.7,61.3,63,64.7
014681,北海道下川町,,,1.6,2.4,3,4.2,5.7,7.5,8.4
014699,北海道美深町,,52.1,53.8,54.8,55.5,56.5,56.5,57.8,59.3
014702,北海道音威子府村,,,69.3,70.1,70.8,71.9,73.2,73.3,72.8
