団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
011002,北海道札幌市,,45.9,47.4,34.6,36.8,39.1,40.2,43,46.8
012025,北海道函館市,,53.9,55.4,57.1,40,42.4,44.8,46.9,49.2
012033,北海道小樽市,,56.5,,,,62,61.2,60.7,58.5
012041,北海道旭川市,69.2,72,73.7,75.4,76.6,77.8,78.6,79.4,80.2
012050,北海道室蘭市,68.4,67.9,65.3,70.3,66.8,68,69.1,59.2,60.5
012068,北海道釧路市,,58.4,60.6,62.8,64.7,66.3,68.3,70.6,70.8
012076,北海道帯広市,,39.4,41.5,43.5,45.5,47.6,49.6,51.7,53.7
012084,北海道北見市,59.1,59.7,63,66.3,68.7,71.1,57.9,60.3,62.6
012092,北海道夕張市,,83.6,85.8,88,90.2,92.4,94.6,96.8,99
012106,北海道岩見沢市,,42.9,45,47,48.9,50.8,52.7,52.7,54.6
012114,北海道網走市,,96.5,100,100,100,100,100,100,100
012122,北海道留萌市,93.3,,,,,,,,
012131,北海道苫小牧市,43.9,45.9,47.9,49.9,51.9,72.3,73.5,74.7,77.3
012149,北海道稚内市,,72.6,74.1,76.4,78.6,78.7,75.9,71.6,73.8
012157,北海道美唄市,,80.9,84.2,82.5,79.3,97.5,97.7,83.5,84.1
012165,北海道芦別市,60.1,60.1,64.1,66.1,68.1,70.1,60.1,62.1,61.8
012173,北海道江別市,,81.2,82.9,84.9,86.9,88.9,90.9,93,95
012181,北海道赤平市,,,,,,,,,
012190,北海道紋別市,74.5,74.5,80.9,88,90,91.9,89.5,91.6,85.8
012203,北海道士別市,37.8,39.9,42,44,46.1,48.2,50.3,52.4,54.5
012211,北海道名寄市,0,4.9,8.1,10.9,13.7,16.4,19.2,22,24.8
012220,北海道三笠市,85.7,87.8,90.5,92.2,92.2,92.7,93.5,94.2,77.8
012238,北海道根室市,46.8,48.7,50.7,52.7,54.2,55.7,56.6,55.8,55.6
012246,北海道千歳市,,,,,,,100,100,100
012254,北海道滝川市,,,91.9,95.5,99.4,99.5,99.5,99.6,99.6
012262,北海道砂川市,19.8,22,24.2,26.4,28.6,30.8,33,35.2,36.2
012271,北海道歌志内市,68.1,65.9,68.1,70,72.5,74.5,74.5,75.3,74.5
012289,北海道深川市,,37.6,,,,58.3,50.3,52.8,55.2
012297,北海道富良野市,,,94.5,95.5,96.5,97.4,97.5,98.7,98.7
012301,北海道登別市,59.3,61.3,62.8,64.7,66.2,68.4,69.4,71.3,66.9
012319,北海道恵庭市,62.1,66.9,68.2,68.8,70.8,71.7,74.8,76.8,80.5
012335,北海道伊達市,28.3,31.2,22.3,22.8,36.7,39.8,42.9,44.8,47.4
012343,北海道北広島市,,37.5,39.3,39.7,41.8,43.8,46.5,47.9,51.4
012351,北海道石狩市,58.3,60.5,62.4,64.4,66.5,68.3,68.7,70.9,72.7
012360,北海道北斗市,38,39.2,41.3,43.4,45.5,45.5,49.7,51.8,53.9
013030,北海道当別町,,92.2,93.7,95,94.6,94.2,95,95.8,96.3
013048,北海道新篠津村,59.9,62.1,64.4,66.6,68,69.4,71.7,74,76.2
013315,北海道松前町,,,,,,,,,
013323,北海道福島町,,,,88.2,,,,,
013331,北海道知内町,,,,,,,,,
013340,北海道木古内町,,,,,,,,,
013374,北海道七飯町,,55.4,57.6,59.8,62,64.2,66.4,68.6,70.8
013439,北海道鹿部町,,,,,,,,,
013455,北海道森町,,,,,,,,,
013463,北海道八雲町,,,,,,,,,
013471,北海道長万部町,52.8,54.1,56.4,58.6,60.9,63.1,65.4,67.7,69.9
013617,北海道江差町,53.2,59.4,,,,64.5,61.4,71.5,67.7
013625,北海道上ノ国町,,,,,,,,,
013633,北海道厚沢部町,,,,,,,,,
013641,北海道乙部町,,,,,,,,,
013676,北海道奥尻町,,,,,,,,,
013706,北海道今金町,84,86,90,92,94,94,96,98,100
013714,北海道せたな町,,72.3,,,,,,,
013919,北海道島牧村,,69.9,70.9,,,,,,
013927,北海道寿都町,46.2,,,,,,,,
013935,北海道黒松内町,,,,,,,,,
013943,北海道蘭越町,68.7,68.7,73,74.8,77,79.2,82.9,81.4,83.7
013951,北海道ニセコ町,,48.9,51.5,,,,,,
013960,北海道真狩村,,,,,,,,,
013978,北海道留寿都村,,,,,,,,,
013986,北海道喜茂別町,,,,,,,,,
013994,北海道京極町,81.6,,,,,,,,
014001,北海道倶知安町,,,,99.6,,,,,
014010,北海道共和町,23.8,,,,,,,,
014028,北海道岩内町,,,,52.4,52.4,54.7,57.2,59.7,62.2
014036,北海道泊村,,,,,,,,,
014044,北海道神恵内村,,,,,,,,,
014052,北海道積丹町,,,,,,,,,
014061,北海道古平町,,,,,,,,,
014079,北海道仁木町,,,,,,,,,
014087,北海道余市町,,,,,,85.1,,,
014095,北海道赤井川村,,,,,,,,,
014231,北海道南幌町,,,,,,,,,
014249,北海道奈井江町,32.3,,,36.9,39.1,41.4,43.8,46.1,50.8
014257,北海道上砂川町,70,74,76,78,80,82,84,86,88
014273,北海道由仁町,47.2,49.3,51.4,,55.5,57.5,60,60,61.8
