団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
011002,北海道札幌市,,79.8,81.6,81.6,83.5,86.1,87.5,61.6,76.6
012025,北海道函館市,,58.5,60.4,62.3,64.2,66,67.8,69.6,71.4
012033,北海道小樽市,,55.5,,,,,,,
012041,北海道旭川市,48.7,50.8,52.7,54.7,56.7,57.6,61.6,64.8,66.6
012050,北海道室蘭市,,,,0.4,,,,,
012068,北海道釧路市,,60.7,62.7,64.7,66.6,68.6,70.5,72.5,73.5
012076,北海道帯広市,,,,,,,,,
012084,北海道北見市,61.3,63.3,65.2,67.9,69.2,70.7,75.5,57,60.6
012092,北海道夕張市,,94.6,96.8,99,100,100,100,100,100
012106,北海道岩見沢市,,,,,,,,,
012114,北海道網走市,,30.8,34.8,36.8,38.8,40.8,41,44.8,46.8
012122,北海道留萌市,87.2,92.6,93.9,95.4,96.2,97.5,97.9,98.7,98.8
012131,北海道苫小牧市,66,68.2,70.4,72.6,74.8,77,79.2,81.4,76
012149,北海道稚内市,,,,,,,,,
012157,北海道美唄市,,96.7,97,97.3,97.7,60.1,61.4,98.8,78.2
012165,北海道芦別市,,,,,,,,,
012173,北海道江別市,,47,48.9,50.7,52.7,51.4,53.6,55.5,57.2
012181,北海道赤平市,49.6,73.6,75.7,77,79.2,81.4,81.4,85.8,88
012190,北海道紋別市,87.2,87.2,88.6,96.5,99.7,99.7,92.8,92.9,87.5
012203,北海道士別市,83,84.7,86.3,87.8,89,90,90,93.2,93.8
012211,北海道名寄市,60.1,68,67.5,35.3,37.1,39.8,42.5,45.2,47.8
012220,北海道三笠市,72.4,74.4,78.3,80.3,80.3,82.3,84,87.3,88
012238,北海道根室市,47.8,49.5,37,34.9,37.8,40.7,42.5,45.7,49
012246,北海道千歳市,69.1,68.3,72.6,74.6,76.3,78.1,100,100,100
012254,北海道滝川市,,,60.1,63.9,58.3,67.9,69.4,71.4,73.5
012262,北海道砂川市,35.9,38.8,41.7,44,46.9,49.8,52.7,55.6,58.5
012271,北海道歌志内市,,,,,,,,,
012289,北海道深川市,,78.1,,,,86.1,88.1,90.1,90.9
012297,北海道富良野市,,,83.6,83.6,87.6,89.6,89.6,93.6,93.6
012301,北海道登別市,65.6,67.5,69.6,71.7,71.8,73.5,73.1,,
012319,北海道恵庭市,53,49.4,57.1,61.3,58.4,60.5,64.4,66.4,69
012335,北海道伊達市,,,,,,,,,
012343,北海道北広島市,,43.3,46.8,50.2,53.7,57.2,60.7,64.2,67.7
012351,北海道石狩市,98.7,100,100,100,100,100,100,87,88.7
012360,北海道北斗市,70,72,74,76,78,78,82,84,86
013030,北海道当別町,,100,100,100,100,100,100,100,100
013048,北海道新篠津村,,,,,,,,,
013315,北海道松前町,95.4,,88.5,90,91.6,93.1,94.7,96.2,97.8
013323,北海道福島町,,,87.7,88.2,86,88,88.3,92,94
013331,北海道知内町,,,,,73.1,74.6,74.3,77.2,79
013340,北海道木古内町,74,76,78,80,50.5,54,50.9,54.8,58.7
013374,北海道七飯町,,45,46.2,48.2,50.2,52.3,54.3,57.4,59.3
013439,北海道鹿部町,,77.8,80.4,79.1,81.7,83,85.5,86.8,92.9
013455,北海道森町,81.7,85.7,87.7,89.7,91.7,93.8,95.8,96.3,96.7
013463,北海道八雲町,100,100,100,100,100,100,100,100,100
013471,北海道長万部町,,,,,,,,,
013617,北海道江差町,,,,,,83,85.9,87.3,88.7
013625,北海道上ノ国町,,,,,,,,,
013633,北海道厚沢部町,,,,,,,,,
013641,北海道乙部町,64,66,68,70,69.2,71.4,73.1,75.3,76.5
013676,北海道奥尻町,,,,,,,,100,7.6
013706,北海道今金町,54.7,,,,,,,,
013714,北海道せたな町,,,,,,,,,
013919,北海道島牧村,,,,,,,,,
013927,北海道寿都町,,46.2,48.8,51.3,55,57.2,59.4,61.6,63.8
013935,北海道黒松内町,,,,,,,,78.6,83.2
013943,北海道蘭越町,,,,,,,,,
013951,北海道ニセコ町,,45.3,47.3,,,,,,
013960,北海道真狩村,67.8,,,,,80,82,84,86.1
013978,北海道留寿都村,,,,,,,,,
013986,北海道喜茂別町,,,,,,,,,
013994,北海道京極町,64,66,68,70,72,74,76,78,80
014001,北海道倶知安町,90.9,94.7,,93.7,94.6,95.5,95.9,96.3,96.8
014010,北海道共和町,,,,40.5,42.8,41.6,44.2,37.9,39
014028,北海道岩内町,72.6,,,,,,,,
014036,北海道泊村,,60,45.1,47.1,49.1,51.1,53.1,55.1,57.1
014044,北海道神恵内村,,,,,,,,,
014052,北海道積丹町,,,58,59.5,51.3,50.5,54.5,54.4,57.9
014061,北海道古平町,,,,,,,,,
014079,北海道仁木町,,,,,,,,,
014087,北海道余市町,69.2,,75.2,75.8,76.6,79.1,81.6,83.7,86.2
014095,北海道赤井川村,,,,,,,,,
014231,北海道南幌町,,,,,,,,,
014249,北海道奈井江町,72,,,76,78,80,82,84,88
014257,北海道上砂川町,,,,,,,,,
014273,北海道由仁町,,,,,,,,,
014281,北海道長沼町,,,,,,,,,
014290,北海道栗山町,54.4,57,58.6,59.6,61.9,66.1,68.5,70.2,72.5
014303,北海道月形町,,,,,,,,,
014311,北海道浦臼町,,,,,,,,,
014320,北海道新十津川町,,,,,,,,,
014338,北海道妹背牛町,,,,,,,,,
014346,北海道秩父別町,,66.9,63,64.5,66,67.2,68.8,70.2,68.2
014362,北海道雨竜町,,77.9,77.9,77.6,77.9,80,82.7,89.2,89.7
014371,北海道北竜町,,79,82.7,86.1,89.6,92.8,93.2,94.7,95.1
014389,北海道沼田町,,,,,,,,,
014524,北海道鷹栖町,80.8,78.7,47.8,34.2,36.5,39.9,43.3,46.7,50.1
014532,北海道東神楽町,37.9,43.1,,12.5,17.6,22.1,19.2,24.4,29.4
014541,北海道当麻町,43.3,48.5,51.2,51.1,12.6,17.6,20.1,22.6,25.2
014559,北海道比布町,,48.5,90.9,92.7,12.6,96.2,97.9,98.3,98.7
014567,北海道愛別町,100,80.3,77.9,63.8,61.8,60.5,64.1,67.8,71.4
014575,北海道上川町,,,,,,,,,
014583,北海道東川町,,,,,,28.5,35.1,41.6,48.2
014591,北海道美瑛町,100,100,100,100,50.7,52.1,53.8,57,58.7
014605,北海道上富良野町,77.8,74.1,74.7,80.4,75.2,76.9,75.2,76.9,77
014613,北海道中富良野町,,69.7,72.2,74.6,76.9,76,79.4,81,82.7
014621,北海道南富良野町,65.1,59.2,60.7,62.8,65.2,66.3,68.6,70.2,72.5
014630,北海道占冠村,,,,,44,50,51.4,53.5,55.5
014648,北海道和寒町,63.8,65.4,67.4,67.2,68.4,68.7,69.9,71.1,72.3
014656,北海道剣淵町,,,,,,,,,
014681,北海道下川町,,,65,67.8,70.5,72.8,74.5,75.9,78.8
014699,北海道美深町,,,,,,,,,
014702,北海道音威子府村,,,66.2,72.8,75.2,77.5,79.9,82.2,84.5
014711,北海道中川町,15.1,32.3,40.6,56.3,57.3,60,74,82.4,90.9
014729,北海道幌加内町,,90.3,91.3,92.2,93.2,94.2,95.2,83.6,84.7
014818,北海道増毛町,,,,,,,,,
014826,北海道小平町,,99.8,82,91.5,100,,,,83.7
014834,北海道苫前町,,48,50,45.8,52.8,48.9,51.1,40.3,43.1
014842,北海道羽幌町,,,,63,65,67,60.3,63,65.8
014851,北海道初山別村,,46.3,48.3,48.3,49.6,52.3,53.3,57.7,57.5
014869,北海道遠別町,,,,,,,,,
014877,北海道天塩町,,,,,,,,,
015113,北海道猿払村,,,,,,,,,
015121,北海道浜頓別町,,,,,,,,,
015130,北海道中頓別町,,,,,,,,,
015148,北海道枝幸町,,,,,,,,,
015164,北海道豊富町,,,,,,37.3,41,46,47.8
015172,北海道礼文町,,,,,,,,,
015181,北海道利尻町,52,56,58,60,62,64,66,67,68.3
015199,北海道利尻富士町,,,,,,,,50.2,52.5
015202,北海道幌延町,11,10.1,13.6,17,20.5,23,27.4,30.8,
015431,北海道美幌町,,,,,,,,,
015440,北海道津別町,66,68,70,69.4,68.7,69.4,69.4,79.3,85.6
015458,北海道斜里町,53,46.8,48.4,49.7,51.4,57.7,56.1,57.2,59.2
015466,北海道清里町,,39.1,,,46.5,48.7,22,52.5,54.1
