団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
011002,北海道札幌市,,51.2,46.2,42.4,46.9,48.8,44.4,46.9,49.7
012025,北海道函館市,,34.4,37.5,40.5,43.5,46.4,47.9,49.4,50.9
012033,北海道小樽市,,76.1,,,,65,67.4,69.9,72.4
012041,北海道旭川市,39.6,41.6,43.6,45.6,47.6,49.6,51.6,53.6,55.6
012050,北海道室蘭市,83.4,84,84.7,85.1,84.1,85.2,1,5.5,5.5
012068,北海道釧路市,,56.5,33.9,37,40.2,43.4,46.1,49.2,51.6
012076,北海道帯広市,,22,24,26,28,30,32,34,36
012084,北海道北見市,10.5,13,15.9,19.6,21.3,24.2,25.2,27.5,28.3
012092,北海道夕張市,,,,,,,,,
012106,北海道岩見沢市,,36.1,38.1,59.9,42.1,44.1,46.1,46.1,48.1
012114,北海道網走市,,30.8,34.8,36.8,38.8,40.8,41,44.8,46.8
012122,北海道留萌市,52.8,54,55.8,57.9,59.8,61.8,63.8,65.8,69.1
012131,北海道苫小牧市,59.4,61.6,63.8,66,68.2,70.4,72.6,74.8,77
012149,北海道稚内市,,28,30,32,34,36,37.9,39.8,41.7
012157,北海道美唄市,,91.6,94.1,96.1,98.1,100,100,100,100
012165,北海道芦別市,43,43.5,45.8,48.1,50.5,52.8,55.1,52.5,77.3
012173,北海道江別市,,52.5,54.5,56.5,58.5,60.5,62.5,62.5,66.5
012181,北海道赤平市,64.8,74,76,78,80,82,82,86,88
012190,北海道紋別市,52,52,54,58,60,62,64,66,64
012203,北海道士別市,34.8,36.9,39.1,41.2,40.8,43.2,45.6,48,50.5
012211,北海道名寄市,91.4,93.4,95.3,58.2,61.1,62.4,63.6,64.8,66.1
012220,北海道三笠市,72.4,74.4,78.3,80.3,80.3,82.3,84,87.3,88
012238,北海道根室市,74.6,75.2,76.2,77.1,78,79,79.9,79.7,80.7
012246,北海道千歳市,62.3,58,60,62,64,66.9,68,70,72
012254,北海道滝川市,,,,,,,,,
012262,北海道砂川市,62.1,63.5,65.8,68.1,68.1,69.7,71.5,71.5,74
012271,北海道歌志内市,62,,,,,,,,
012289,北海道深川市,,58.5,,,,68.3,70.7,73.2,75.6
012297,北海道富良野市,,,51.4,54.4,56.7,57.4,59.9,64.5,64.5
012301,北海道登別市,85.4,87.7,89.2,91.6,93.1,95.5,93.2,94.1,95
012319,北海道恵庭市,51,52.7,54.7,56.7,53.9,55.3,58.7,61.2,65.3
012335,北海道伊達市,74.1,76.3,76.8,78.7,80,81.9,83.8,85.8,87.7
012343,北海道北広島市,,37.5,38.8,41,43,45,46.8,49,51.2
012351,北海道石狩市,34.5,35.8,37.8,39.8,41,43,45,47,49
012360,北海道北斗市,40.4,41.6,43.7,45.8,47.9,47.9,52.1,54.2,56.3
013030,北海道当別町,,,,,,,,,
013048,北海道新篠津村,,,,,,,,,
013315,北海道松前町,,,,,,,,,
013323,北海道福島町,,,,,,,,,
013331,北海道知内町,,,,,,,,,
013340,北海道木古内町,,,,,,,,,
013374,北海道七飯町,,,,,,,,,
013439,北海道鹿部町,,,,,,,,,
013455,北海道森町,,,,,,,,,
013463,北海道八雲町,32,34,36,38,40,42,44,46,48
013471,北海道長万部町,52.8,54.1,56.4,58.6,60.9,63.1,65.4,67.7,63.5
013617,北海道江差町,53.2,,,,,,,,
013625,北海道上ノ国町,,,,,,,,,
013633,北海道厚沢部町,60,61.8,61.8,65.9,67.9,69.9,71.9,73.9,75.9
013641,北海道乙部町,,,,,,,,,
013676,北海道奥尻町,,,,,,,,,
013706,北海道今金町,,,,,,,,,
013714,北海道せたな町,,62.9,76,78,80,82,84,86,88
013919,北海道島牧村,,,,,,,,,
013927,北海道寿都町,,,,,,,,,
013935,北海道黒松内町,,,,,,,,75.6,84
013943,北海道蘭越町,98.4,98.4,99.6,100,100,100,100,100,100
013951,北海道ニセコ町,,23,25.3,,,,,,
013960,北海道真狩村,,,,,,,,,
013978,北海道留寿都村,,,,,,,,,
013986,北海道喜茂別町,,,,,,,,,
013994,北海道京極町,24.2,,,,,,,,
014001,北海道倶知安町,,,,,,,,,
014010,北海道共和町,,,,,,,,,
014028,北海道岩内町,,,,,,,,,
014036,北海道泊村,,,,,,,,,
014044,北海道神恵内村,,,,,,,,,
014052,北海道積丹町,,,,,,,,,
014061,北海道古平町,,,,,,,0,3.6,7.2
014079,北海道仁木町,,,,,,,,,
014087,北海道余市町,47.4,,52.7,55,57.2,59.5,61.7,63.9,66.2
014095,北海道赤井川村,,,,,,,,,
014231,北海道南幌町,,,,,,,,,
014249,北海道奈井江町,68,,,72,74,76,78,80,84
014257,北海道上砂川町,,,,,,,,,
014273,北海道由仁町,,,,,,,,,
014281,北海道長沼町,48,48,,52,54,56,58,60,62
014290,北海道栗山町,50.3,52.6,55,57.4,59.8,59.1,61.4,63.8,63.7
014303,北海道月形町,,70,73.6,77.3,81.1,84.9,88.6,92.4,92.4
014311,北海道浦臼町,,,,,,,,,
014320,北海道新十津川町,44,48.4,50.6,52.8,55,57.2,59.4,61.6,63.8
014338,北海道妹背牛町,,,,,,,,,
014346,北海道秩父別町,,64,65.3,63.3,65,66.6,68.3,70,71.6
014362,北海道雨竜町,,,,,,,,,
