団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
011002,北海道札幌市,,52.7,54.5,54,57.4,59.6,60.2,60.9,62.9
012025,北海道函館市,,68.3,70,71.6,73.2,74.7,75.5,77,75
012033,北海道小樽市,,56.4,,,,62,63.7,65.2,66.7
012041,北海道旭川市,55.4,56.8,58.1,60.1,61.2,62.1,63.7,65.5,65.8
012050,北海道室蘭市,66.5,67.8,66.9,68.5,70.2,71.6,72.3,68.3,69.2
012068,北海道釧路市,,65.5,65.2,65.1,66.7,66.9,63.8,65.7,62.7
012076,北海道帯広市,,51,53,53.8,55.9,56.8,58.1,60.1,60.2
012084,北海道北見市,57.8,59.4,58.5,59.6,60,60.4,62.5,64.3,66
012092,北海道夕張市,,52.9,53.3,53.6,54.6,56.8,59,61.1,62.5
012106,北海道岩見沢市,,53.2,53.8,54.9,56.4,58.3,60.3,61.7,63.6
012114,北海道網走市,,58.9,60.5,57.8,59.2,57.2,51,60.9,59.7
012122,北海道留萌市,73.2,71.9,73.1,73.6,75,76,77.6,78.9,80.5
012131,北海道苫小牧市,41.3,42.7,44.3,45.8,47.6,49.1,52.8,53.3,79.3
012149,北海道稚内市,,73.9,74.8,76.1,76.5,77.4,78.8,79.7,80.7
012157,北海道美唄市,,53.9,56.1,57.9,59.6,63,64,65.1,66.3
012165,北海道芦別市,83.8,85.3,86.8,86.9,88,89.3,90.3,88.4,88.5
012173,北海道江別市,,65.5,62.1,63.1,59.3,58.4,56.4,57.4,54.4
012181,北海道赤平市,48.9,52.7,52.4,54.8,56.3,55.2,55.2,56,52.4
012190,北海道紋別市,53.2,53.2,53,57.7,59.8,61.9,61.2,62.3,57
012203,北海道士別市,57,53.1,53.3,55.1,57.1,58.6,60.6,62.5,64.2
012211,北海道名寄市,51.7,50.6,50.2,50.4,51.1,45.9,47.3,47.5,48.4
012220,北海道三笠市,82.4,80,86.2,87.4,87.4,87.2,87.9,88.7,89.5
012238,北海道根室市,34.8,36.7,38.2,39.9,41.5,43.5,45.4,47.1,49
012246,北海道千歳市,55.8,47.5,48.4,48.5,49,50.6,55.8,57.4,58.4
012254,北海道滝川市,,,68.3,67.1,64.2,65.6,68.8,70.5,72
012262,北海道砂川市,53.7,55.6,57.2,59.1,61.3,63.5,65.6,67.2,68.8
012271,北海道歌志内市,57.8,56.1,57.9,59.8,63.5,65.1,65.1,66.5,65.1
012289,北海道深川市,,43.8,,,,48.4,49.4,51.1,52.8
012297,北海道富良野市,,,71.1,70.6,71.3,67.8,65.3,66.1,66.1
012301,北海道登別市,61.7,63.8,65.7,67.6,66.2,68,66.8,67.1,68.8
012319,北海道恵庭市,49,50.7,52.6,54.6,56.2,57.1,59.9,57.2,60.2
012335,北海道伊達市,37.9,38.6,41,43.2,45.4,46.9,49.3,51.2,53.2
012343,北海道北広島市,,29.3,28.7,30.3,31.1,34.1,37.1,40.2,40.4
012351,北海道石狩市,66.8,68.1,69.5,70.6,72,72.3,64.9,66.2,64.4
012360,北海道北斗市,49.6,51.1,49.7,52,57.4,59.5,61.3,63.4,65.4
013030,北海道当別町,,56.5,58.3,42,60.8,60.7,62.1,64,65.1
013048,北海道新篠津村,41.5,60.2,55.5,51.7,48.3,47.8,45.1,42.3,43.9
013315,北海道松前町,93.2,,87.9,84.7,78.8,74.2,94.8,95,94.2
013323,北海道福島町,77.7,80.2,80.2,82.1,71.7,73.3,48.8,62.1,80.8
013331,北海道知内町,,,,,62.7,63.6,64,65.5,67.5
013340,北海道木古内町,56.9,62.5,62.9,62.7,64,44,46.1,47.3,49.2
013374,北海道七飯町,,47.7,48,50,48.4,48.6,52.4,52.5,53.9
013439,北海道鹿部町,,39.5,41.8,44.3,44.8,47,51.6,53.6,52.8
013455,北海道森町,63.2,65.7,66.9,68,68.8,68.8,70.7,69.3,70.8
013463,北海道八雲町,63.9,63,61.5,63,61.9,59.6,61.8,62.2,64.4
013471,北海道長万部町,52.1,52.7,54.5,56.2,57.9,59.6,61.3,61,57.6
013617,北海道江差町,69.6,72.2,,,,64.8,63.4,67.4,68.5
013625,北海道上ノ国町,59,,60.7,62.3,63.6,64.7,66.7,68.6,61.7
013633,北海道厚沢部町,50.2,52.7,52.7,57.7,60,62.3,64.5,66.8,69
013641,北海道乙部町,46,48,50.4,50.3,52.5,53.8,56.2,56.3,58.2
013676,北海道奥尻町,,60.5,63,65.6,57.8,55.6,57.8,68.4,65.8
013706,北海道今金町,62.8,64,67.7,69,69.4,71.5,71.8,73.7,75.6
013714,北海道せたな町,,56.1,60.4,62.2,64,65.9,67.2,68.6,69.3
013919,北海道島牧村,,73.9,75,76.2,77.2,78.2,64.2,65.4,65.4
013927,北海道寿都町,76.9,78.1,77.8,77.4,71.9,72.4,72.4,73,74.2
013935,北海道黒松内町,37.9,38.8,,48.7,50,50.5,52.7,52.1,56
013943,北海道蘭越町,49.5,39.9,44.2,40.3,40.3,42.9,46.9,48.5,50.3
013951,北海道ニセコ町,45.9,49.5,52.3,54.1,56.3,58.5,59.6,61.1,62.3
013960,北海道真狩村,49.2,,,,,47.5,50.1,52.5,55
013978,北海道留寿都村,,,,,,,,,
013986,北海道喜茂別町,,45.7,47.3,52.1,52.7,54.5,56.6,58.6,60.2
013994,北海道京極町,44.3,45.8,47.4,49.4,48.6,50.7,42.4,50.9,57.8
014001,北海道倶知安町,53.5,53.4,,57.7,56.5,58.5,59,59.7,61.2
014010,北海道共和町,33.1,,,34.6,34.7,35.3,37.3,39.5,41.8
014028,北海道岩内町,58.4,,,63.4,63.3,65.6,64.2,65.4,66.7
014036,北海道泊村,,45,46.4,47.2,46.4,46.3,49.2,51.2,53
014044,北海道神恵内村,,,52.1,41.2,44.6,47.4,55.8,63.6,60.2
014052,北海道積丹町,,,56.3,53.7,53.4,55.3,55.1,56.8,58.5
014061,北海道古平町,60.2,59.9,64.2,64.1,,66.9,65.4,67.8,69.1
014079,北海道仁木町,26.8,31.5,31.5,33.8,34.6,36.8,38.8,41,43.1
014087,北海道余市町,67.3,,73.1,74.8,76.2,77.8,79.6,80.9,81.2
014095,北海道赤井川村,,40.5,37,42,44.3,45.3,46.1,48.1,50.3
014231,北海道南幌町,,78.6,54.7,56.9,59,61,63.7,68.7,71.3
014249,北海道奈井江町,60.3,,,63.6,65.2,66.8,67.9,69,72
014257,北海道上砂川町,63.2,67.5,69.2,71.3,72.5,74.2,76,77.7,79.6
014273,北海道由仁町,52.8,53.3,53.4,,53.6,58.5,59.5,59.3,56.7
014281,北海道長沼町,53.8,53.8,,51.1,50.5,52.3,48.1,65.5,47.8
014290,北海道栗山町,51.1,50.4,49.4,48.5,50.2,51.6,53,54.7,55.1
014303,北海道月形町,,47.4,48,50.1,52.4,54.6,57.1,59.2,59.1
014311,北海道浦臼町,,,,43.5,46.6,43,38.2,38.1,45.8
014320,北海道新十津川町,40.8,44.7,46.7,48.3,50.1,51.8,53.3,55.1,56.9
014338,北海道妹背牛町,43,42.6,41.2,39.1,39.2,41,40.7,42.1,42.6
014346,北海道秩父別町,,57.2,59,60.3,61.7,63.4,65.2,65,66.4
014362,北海道雨竜町,,48.4,50.1,49.9,52.6,52.9,52.4,59,54.2
014371,北海道北竜町,,39.1,40.8,43.5,44.4,47,47.5,47.9,49.2
014389,北海道沼田町,60,59.4,62.4,64.2,65.5,64.2,66.4,66.5,62.7
014524,北海道鷹栖町,50.6,51.7,53.8,53.2,54.7,53.6,55.3,56.9,58.8
014532,北海道東神楽町,49.3,48.3,,43.3,42.9,42.6,43.1,64.1,46.9
014541,北海道当麻町,45.4,48.2,50.4,50.6,49,59.6,61.6,64,66.5
014559,北海道比布町,,48.2,43.8,43.4,49,45.1,44.7,47.4,48.9
014567,北海道愛別町,58.5,51.3,52.8,53.3,55,56.6,57.2,59.6,62.3
014575,北海道上川町,59.8,62,,66,68.2,70.6,73.1,75.4,79.5
014583,北海道東川町,,,,,,40.7,43.9,44.4,47.8
014591,北海道美瑛町,79.4,60,65.5,68.6,63.9,65.7,67.4,69.7,71.5
014605,北海道上富良野町,57.9,51.7,48.8,46.2,48.5,50.1,50.8,51.2,50.4
014613,北海道中富良野町,,47.7,49.8,48.4,50.8,52.4,55,57.6,56.3
014621,北海道南富良野町,62.4,71.6,66.7,68.7,70.8,72.4,72.6,74.2,75.6
014630,北海道占冠村,82.7,82.8,,,82.5,87.1,62.3,61.5,62.6
014648,北海道和寒町,62.5,64.8,64.4,64.1,63.3,62.1,61.7,63.5,65.7
014656,北海道剣淵町,53.9,55.1,55.5,57,56.1,54.8,53.1,52.2,50.1
014681,北海道下川町,,,73.2,73.6,68.4,68.9,70.2,69.8,68.8
014699,北海道美深町,,66.3,69.2,71.4,73.7,69.9,69.9,69.7,68.9
014702,北海道音威子府村,,,37.3,35,36.1,39,41.9,44.8,47.7
014711,北海道中川町,73.1,66.9,69.2,71.3,73,74.4,76.2,77.3,78.7
014729,北海道幌加内町,,55.4,57.5,59.3,61.2,62.3,64.5,65.8,67.9
014818,北海道増毛町,,52.8,55,54.3,55.9,53.6,54.8,56.9,59
014826,北海道小平町,,56.3,42.6,60.8,62.2,63.4,64.5,66.6,68.9
014834,北海道苫前町,,62.6,61.3,61.3,60.4,58.7,59.8,61.2,62.1
014842,北海道羽幌町,,,,70.3,70.7,74.7,68.1,69.1,70.8
014851,北海道初山別村,75.3,76.9,78.3,78.3,78.3,80.6,73.7,80.1,76.8
014869,北海道遠別町,45.4,74.2,45.6,47.3,79.4,47.8,49.1,50.2,52.7
014877,北海道天塩町,,74.2,76.3,78,79.4,79.4,80.5,72.1,72.1
015113,北海道猿払村,68.2,64.2,65.6,73.6,59.4,79.7,72.5,75.7,77.1
015121,北海道浜頓別町,,60.9,,,,,,,
015130,北海道中頓別町,,46.9,46.9,49.5,52.1,54.7,57.3,59.9,62.5
015148,北海道枝幸町,,78.6,80.9,82.4,83.6,83.1,82,81.5,81
015164,北海道豊富町,37.3,36.9,38.9,,,45,46.5,47.8,49.2
015172,北海道礼文町,57.7,53.2,58.2,58.9,57.9,56.1,58.1,53.3,56.2
015181,北海道利尻町,60.7,65.4,67.4,69.6,69.7,71.5,74.1,76,77.8
015199,北海道利尻富士町,,,,,,,,62.1,64.3
015202,北海道幌延町,44,46,48,49.9,51.5,52.4,53.7,55.2,
015431,北海道美幌町,,54.1,56.2,58.2,60.2,62.1,64.1,66.1,68
015440,北海道津別町,60.1,55.9,59.2,60.3,61.6,64.3,64.1,73.6,69.7
015458,北海道斜里町,58.4,56.6,54.4,55.7,54.6,56.8,58.6,60.6,61.4
015466,北海道清里町,,63.1,,,61.3,62.6,76.3,66.4,66.2
015474,北海道小清水町,,57.2,59.5,61.6,62.9,64.6,66.6,68.3,70.1
015491,北海道訓子府町,59.7,60.7,53.1,52.7,52.3,53.2,27.1,31.3,34.3
015504,北海道置戸町,75.9,76.2,81.7,85.2,,86.4,82.1,82.6,83.2
015521,北海道佐呂間町,50.7,59.7,60.9,62.4,64.3,65.8,66.8,68.8,70.7
015555,北海道遠軽町,,63.3,,67.2,66.7,67.6,68.1,69.3,68.8
015598,北海道湧別町,63.2,66.3,49.9,57.4,66,74.9,75.8,76.1,77.9
015601,北海道滝上町,77.4,70.7,38.5,34,46,38.6,38.7,39.3,39
015610,北海道興部町,,53.7,89.9,73.6,86.6,82.8,79.9,64.6,66.5
015628,北海道西興部村,54.3,54.4,57.3,59.8,62.5,65.2,67.4,69.9,71.1
015636,北海道雄武町,,58.8,57.7,60.7,63.1,65.5,66.7,68.6,69.9
015644,北海道大空町,49.8,50.7,52.6,54.6,56.2,58.2,59.9,61.9,64
015717,北海道豊浦町,48.5,59.4,61.1,60.8,62.7,64.6,65.8,66.4,67.3
015750,北海道壮瞥町,49.4,47.5,47.5,48,48.9,48,52.4,52.4,54.7
