団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
011002,北海道札幌市,,59.3,61.9,64.3,64.3,69,71.1,73.5,75.5
012025,北海道函館市,,86.7,90.7,92.4,93.2,94,94.3,94.1,93
012033,北海道小樽市,,51.5,,,,59.8,62.4,65,67.6
012041,北海道旭川市,52.2,54.9,57.6,60.3,63,65.7,69.5,71.2,73.9
012050,北海道室蘭市,57.5,62,66.4,70.8,75.3,76.6,77.7,78.8,80
012068,北海道釧路市,,60.2,60.4,59.9,62.5,68.5,66.6,68.9,25
012076,北海道帯広市,,60.5,64.2,68.3,71.6,75.6,80.2,84.4,88.4
012084,北海道北見市,77.1,74.9,74,75.9,77.8,69.8,72.2,74.6,76.9
012092,北海道夕張市,,14.8,17.3,19.8,22.3,24.8,27.3,29.8,32.3
012106,北海道岩見沢市,,23,25.5,28.1,30.6,33.1,32.7,46.8,32
012114,北海道網走市,,62.9,7.4,11.5,16.7,18.8,19,23.9,26.3
012122,北海道留萌市,51.2,60.5,63.6,65.8,69,72.2,75.4,78.5,81.7
012131,北海道苫小牧市,59.9,62.1,64.3,63.3,65.4,67.4,69,71.4,73.7
012149,北海道稚内市,,30.1,30.9,33,20.6,23,21.7,25.5,29.2
012157,北海道美唄市,,55.5,57.3,59.2,61,75.7,76.8,56.7,59
012165,北海道芦別市,,,,,,,,,
012173,北海道江別市,,37.4,39.5,41.5,43.5,45.5,47.6,49.6,51.4
012181,北海道赤平市,87.2,97.5,98.1,98.8,99.4,100,100,100,100
012190,北海道紋別市,,69.1,71.5,75.7,77.7,79.8,80.1,82.7,65.1
012203,北海道士別市,66.8,2.9,8.5,13.7,19.4,25,30.6,36.2,46.9
012211,北海道名寄市,,65.3,67.3,69.1,70.9,72.8,71.9,74,76.1
012220,北海道三笠市,63.3,65.9,71.1,73.6,73.6,76.2,78.8,81.4,88.4
012238,北海道根室市,79.1,81.1,82,83,83.9,84.8,80.8,77.4,77.4
012246,北海道千歳市,69.4,69.2,72,74.9,77.7,80.5,83.1,84.2,84.8
012254,北海道滝川市,,,56,54.8,70.7,73.5,76.4,79.2,82
012262,北海道砂川市,57.4,60.1,,,,,,,
012271,北海道歌志内市,,,,,,,,,
012289,北海道深川市,,46.4,,,,100,91.1,91.9,92.7
012297,北海道富良野市,,,30.4,32.4,27.4,33,33,38.6,44.2
012301,北海道登別市,38.7,41,43.7,46.7,49.9,53.6,56.5,59.3,61.8
012319,北海道恵庭市,81.8,45.9,51.5,57.2,27.3,26.1,30,33.4,39.2
012335,北海道伊達市,73.9,76.5,78.7,81.4,76.2,77.7,79,80.3,79.3
012343,北海道北広島市,,12.9,15.6,18.3,20.9,23.6,26,28.1,17.3
012351,北海道石狩市,70.8,72.9,74.9,77,79,81.1,83.1,85.2,87.2
012360,北海道北斗市,,45.7,23.4,26.2,28.9,31.7,34.5,50.8,53.5
013030,北海道当別町,,,,,,,,,
013048,北海道新篠津村,,,,,,,,,
013315,北海道松前町,,,100,100,100,100,100,100,100
013323,北海道福島町,,,,,,,,,
013331,北海道知内町,,,,,,,,,
013340,北海道木古内町,,50.4,53.9,56.7,59.2,62.2,64.1,66.1,68.1
013374,北海道七飯町,,76.1,84.1,81.7,83.5,85.4,87.2,89.1,90.9
013439,北海道鹿部町,,50.5,54.6,58.4,62.7,65.7,63,65.1,62.8
013455,北海道森町,68.5,71.3,72.6,74,72.3,73.8,61.4,49.2,50.1
013463,北海道八雲町,39.6,42.9,46.2,49.5,52.8,56.1,59.4,62.7,66
013471,北海道長万部町,57,59.7,62.4,65.2,67.9,70.6,73.1,75.6,78.1
013617,北海道江差町,,58.9,,,,,,,
013625,北海道上ノ国町,,,,63.2,63.2,67.8,69.3,61.6,67.4
013633,北海道厚沢部町,,58.9,58.9,63.4,65.9,68.1,69.3,61.6,67.4
013641,北海道乙部町,,58.9,60.9,63.2,63.2,67.8,69.3,61.6,67.4
013676,北海道奥尻町,,73.6,97.3,97.3,75.2,77.2,65.4,33.7,31.5
013706,北海道今金町,,,,,,,,,
013714,北海道せたな町,,,,,,,,,
013919,北海道島牧村,,,,,,,,,
013927,北海道寿都町,40.5,,,,,,,,
013935,北海道黒松内町,,,,,,,,,
013943,北海道蘭越町,100,100,100,100,100,100,100,100,100
013951,北海道ニセコ町,24,47.7,49.5,52.8,56.2,59.5,61.2,64.5,67.9
013960,北海道真狩村,39.6,,,,,59.4,62.7,66,69.3
013978,北海道留寿都村,,,,,,,,,
013986,北海道喜茂別町,,,41.2,44.4,47.6,50.5,54,55.8,60.2
013994,北海道京極町,42.9,,,,,,,,
014001,北海道倶知安町,,79.1,,80.9,81.8,84.5,87.2,89.2,92
014010,北海道共和町,,,,,,,,,
014028,北海道岩内町,,,,,,,,,
014036,北海道泊村,,43.1,27.5,25.7,28.1,30.7,32.8,35.1,37.4
014044,北海道神恵内村,,,,,,,,,
014052,北海道積丹町,,,62.1,64.1,66.1,68.1,70.1,72.1,46
014061,北海道古平町,,,,,,55.4,58.4,60.7,63.9
014079,北海道仁木町,51.1,84.9,,,,,,91.6,92.9
014087,北海道余市町,67.8,,74.6,78.1,81.6,85.1,88.6,92.2,94.8
014095,北海道赤井川村,,59.4,62.7,69.9,72.9,76,92.1,93.3,92.2
014231,北海道南幌町,,,,,,,,,
014249,北海道奈井江町,,,,,,,,,
014257,北海道上砂川町,,,,,,,,,
014273,北海道由仁町,,84.6,,,,,,,
014281,北海道長沼町,,,,,,,,,
014290,北海道栗山町,71.3,62.8,64.2,66.3,68.4,70.7,70.1,71.5,74
014303,北海道月形町,,52.9,58.6,62,64.8,67.7,70.5,73.4,73.4
014311,北海道浦臼町,,,,46.1,48.8,51.2,54.7,59.4,61.9
014320,北海道新十津川町,67.5,73.1,75.9,78.7,81.5,84.3,86.7,88.9,91.1
014338,北海道妹背牛町,,,,,,,,,
014346,北海道秩父別町,,37,39.9,39.6,42.7,54.3,57.4,60.2,64.1
014362,北海道雨竜町,,54,94.1,94.1,94.5,94.5,94.5,72.9,75.6
014371,北海道北竜町,,48.2,,,,,,,
014389,北海道沼田町,,,,,,,,,
014524,北海道鷹栖町,48.3,51.5,54.8,57.9,61.2,64.4,67.3,70.6,73.8
014532,北海道東神楽町,,,,,,,,,
014541,北海道当麻町,,,,,,,,,
014559,北海道比布町,,,,,,,,,
014567,北海道愛別町,65.8,,,,,,,,
014575,北海道上川町,,,,,,,,,
014583,北海道東川町,,,,,,,,,
014591,北海道美瑛町,,,,,,,,,
014605,北海道上富良野町,47.1,48.5,48.7,55.2,50.9,53.3,54.1,57.3,60.9
014613,北海道中富良野町,,44.7,47.4,50.2,52.9,55.7,58.5,53.2,49
014621,北海道南富良野町,,44.6,48.1,51.4,53,54.6,56.2,57.8,59.4
014630,北海道占冠村,94.1,79.2,,,79.2,89.1,3.4,10,16.6
014648,北海道和寒町,47.6,52.9,53.1,56.7,60.1,63,66.4,71,73.1
014656,北海道剣淵町,52.6,55.9,57.5,60.5,63.1,66.6,68.1,69.7,71.6
014681,北海道下川町,,,0,6.7,7.4,9.9,15.1,20.5,25.9
014699,北海道美深町,,,,,,,,,
014702,北海道音威子府村,,,52.3,55.6,58.9,62.2,65.5,68.8,72.1
014711,北海道中川町,,41.6,43.9,46.7,48.1,40,42.9,45.9,48.9
014729,北海道幌加内町,,60.7,64.7,68.3,70.1,71.8,36.6,39.7,42.8
014818,北海道増毛町,,16.3,,,,,,,
014826,北海道小平町,,66.2,67.8,69.3,70.8,72.4,73.9,75.4,77
014834,北海道苫前町,,,,,,,,,
014842,北海道羽幌町,,,,78.1,80.6,83.1,85.6,87.6,89.3
014851,北海道初山別村,36.5,,,,,,,,
014869,北海道遠別町,,60.8,62.4,64.5,63.5,63.5,,,
014877,北海道天塩町,,60.8,62.4,64.5,63.5,63.5,57.4,57.4,57.4
015113,北海道猿払村,61.7,62.4,65.4,54,56.7,59.4,62.1,64.8,64.8
015121,北海道浜頓別町,,55.6,,,,,,,
015130,北海道中頓別町,,55.8,55.8,58.3,61.4,64.4,67.3,70,67.4
015148,北海道枝幸町,,52.2,54.6,57.5,57.8,90.1,90.3,90.4,90.9
015164,北海道豊富町,,,,,,,,,
015172,北海道礼文町,59.2,61.4,54.9,44,38.5,41.1,41.9,44.2,41
015181,北海道利尻町,,,,,,,,,
015199,北海道利尻富士町,,,,,,,,,
015202,北海道幌延町,38.9,41.6,43.9,64.5,63.5,55,57.4,59.8,
015431,北海道美幌町,,56.9,59.6,62.1,64.5,66.9,69.1,71.1,73.2
015440,北海道津別町,49.8,53,56.3,59.6,62.9,66.2,19.2,23.5,32.2
015458,北海道斜里町,40.9,40.6,45.1,51,55.1,55.5,61.6,66.8,72.5
015466,北海道清里町,,47,,,78.3,78.8,83.3,81,82.2
015474,北海道小清水町,,,,,,,,83.4,85.2
015491,北海道訓子府町,,,92.4,95.7,99,100,100,100,98.1
015504,北海道置戸町,40,60,80,,,100,100,100,100
015521,北海道佐呂間町,,61.7,64.5,67.3,69.9,72.4,74.9,77.4,79.8
015555,北海道遠軽町,,40.5,,56.8,59.6,62.3,65.1,67.8,70.5
015598,北海道湧別町,,54.8,54.8,57.5,60.2,63.7,66.3,68.9,71.6
015601,北海道滝上町,50.2,10,60.6,,,,89.1,90.5,94.5
015610,北海道興部町,,60.7,100,100,100,100,100,79.5,82
015628,北海道西興部村,45.4,48.5,51.6,54.7,57.9,61,64.1,67.3,71
015636,北海道雄武町,,84.5,87,89.6,89.9,92,94.2,95.5,96.8
015644,北海道大空町,65.4,69.1,71.8,73.4,74.1,75.2,75.6,76.5,75.8
015717,北海道豊浦町,37,45.2,51.7,63.2,72.3,73,74.4,76,77.4
015750,北海道壮瞥町,54.9,61.6,66.1,70.5,74.7,76,74.4,75.9,77.4
015784,北海道白老町,41.4,43.8,46.8,48.6,51,53.4,58,60.3,100
015814,北海道厚真町,,,,,,,,,
015849,北海道洞爺湖町,,4.5,6.4,13.5,18.1,22.6,27.1,31.6,36.2
015857,北海道安平町,,,,,,,,,
015865,北海道むかわ町,,,,,,,80.7,89.2,90.4
016012,北海道日高町,,,,,,,,,
016021,北海道平取町,,,,,,64.9,5.9,11.1,21
016047,北海道新冠町,,,,,,,,,
016071,北海道浦河町,,86.6,87.9,90.3,90.3,91.5,72.4,74.1,75.7
016080,北海道様似町,,,,,,,,73.5,74.8
016098,北海道えりも町,,,,,,,,,
016101,北海道新ひだか町,,,,,,,,,
016314,北海道音更町,,,,0,6.7,13.4,20.1,26.9,
016322,北海道士幌町,,,,,,,,69,
016331,北海道上士幌町,,,,67.8,67.8,74.4,77.7,81,84.3
016349,北海道鹿追町,,56.7,,42.2,45.1,47.9,50.7,53.5,56.3
016357,北海道新得町,,52,54.7,57.5,60.3,63,65.8,68.5,71.3
016365,北海道清水町,,61.6,65,68.2,60.2,56.7,60.9,65.2,69.3
016373,北海道芽室町,,,,,,,,,
016381,北海道中札内村,,,,,,,,,
016390,北海道更別村,,,,,,,,,
016411,北海道大樹町,,,,,,,,,
016420,北海道広尾町,,,84,,,,,,
016438,北海道幕別町,,,,,,,,,
016446,北海道池田町,48.3,,,,,,,,
016454,北海道豊頃町,,91.9,93.4,,,,,,
016462,北海道本別町,,,,,,,,,
016471,北海道足寄町,,78.4,81.3,83,84.4,18,20.4,22.7,24.9
016489,北海道陸別町,77.7,80.2,82.8,70.8,73.4,76.1,78.7,81.4,82.4
016497,北海道浦幌町,,,70.2,73.6,76.6,79.6,82.2,85,87.2
016616,北海道釧路町,,,,,,,,,
016624,北海道厚岸町,,62.4,78.4,70.2,72.7,71.4,71.2,71.2,71.2
016632,北海道浜中町,63,66.3,69.6,72.9,24.2,66.6,56.8,59,59.9
016641,北海道標茶町,,,,5.5,8.3,10.5,13.3,16.1,19
016659,北海道弟子屈町,,58.2,61,64,66.8,69.2,72,72,69.2
016675,北海道鶴居村,,42.7,45.3,48.2,51,53.9,56.8,59.8,62.4
016683,北海道白糠町,,47.2,51.9,54.7,57.4,71.2,94.3,94.6,95.1
016918,北海道別海町,97,60.9,60.7,61.4,62,62.4,61.8,62.6,62.8
016926,北海道中標津町,,39.6,41.9,45.5,49.1,52.5,55.6,58.8,62.8
016934,北海道標津町,,28.2,29.4,43.2,44.9,46.7,48.5,50.1,31.3
016942,北海道羅臼町,,,,,,,,,31.4
022012,青森県青森市,,26,31.4,35.9,40.2,44.5,49,53.4,57.7
022021,青森県弘前市,,63.1,36.2,37.5,40.6,45,49.4,53.7,57.9
022039,青森県八戸市,,,80.9,81.4,81.5,81.2,82.3,81.4,81
