団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,59.2,61.1,62.4,58.3,58.8,61.2,60.9,62.8
020001,青森県,,,56,47.5,49.2,50.7,52.1,51.1,52.5
030007,岩手県,,73.6,73.7,74.2,74.5,72.8,71.4,72.4,73.8
040002,宮城県,,59.2,52.9,52.3,54.3,55.9,56.8,59.1,62.4
050008,秋田県,,73,72.9,72.8,73.5,74.6,69.8,65.2,66.6
060003,山形県,,,,,,,,,
070009,福島県,81.9,66,64.7,62.4,62.7,64,66,66.2,67.9
080004,茨城県,,,,,,,,,
090000,栃木県,,37.9,37.4,39.1,39.6,41.5,45.2,48.1,50.3
100005,群馬県,,,,68.7,71.3,72.2,73.2,75,76.5
110001,埼玉県,,64.4,61.6,62.8,44.7,65.4,67.9,65.5,64.1
120006,千葉県,,55.9,55.4,56.9,58.9,53.8,55.6,55.3,53.5
130001,東京都,48.6,49.7,51.5,59.2,57.3,56,58.3,60.5,62.3
140007,神奈川県,,,51.3,52.1,51.5,48.3,49.6,52.2,53.1
150002,新潟県,,,80.6,76,76.9,79.4,76.2,77.4,79.2
160008,富山県,,75.8,71.7,73.3,74.6,72.1,72.7,65.4,65.7
170003,石川県,,44.9,46.8,48.8,51,52.7,52.5,56.9,57.9
180009,福井県,,71,71.5,73.4,75,75.1,75.6,78.3,79.3
190004,山梨県,42.3,48.9,50.8,50.3,49,50.4,51.6,53.4,53.9
200000,長野県,,71.7,69.4,70.2,69.9,69.4,68.3,69.7,68.8
210005,岐阜県,86.1,82,81.3,74.7,74.1,72.9,68.4,30.7,40.4
220001,静岡県,,62.3,64,64,69.8,72.2,62.6,60.2,62.5
230006,愛知県,67,68.6,70,70.7,71.9,73.8,74.5,74.5,74.2
240001,三重県,,65.9,67.6,68.4,69.8,72.2,,,
250007,滋賀県,54.8,56.8,58.5,60.1,61.7,63.4,64.9,66.5,
260002,京都府,,,,,,,,,
270008,大阪府,,,,43.3,45.6,47.8,47.4,49.9,52.3
280003,兵庫県,,49.4,55.1,54.6,54.3,55,56.6,58.3,59.6
290009,奈良県,,,,,,54,55.6,57.1,58
300004,和歌山県,,59.5,60.4,68.6,75.1,70.3,71.1,70.1,70.3
310000,鳥取県,,85.5,83.9,84.9,84.6,84.3,84.4,85.6,84.2
320005,島根県,,,,,,,81.2,81,81.4
330001,岡山県,,77.2,78.6,79.9,80.9,79.5,79.4,80.5,50.9
340006,広島県,,,,,,,,,
350001,山口県,,57.7,59.5,59.8,60.4,62.3,63.2,64.8,66.8
360007,徳島県,,54.9,56.2,46.8,69.3,69.4,71.3,73.4,75.5
370002,香川県,,50.1,52.6,55.7,55.6,57,59.2,60.6,62.7
380008,愛媛県,,54.7,56.6,58.6,59.8,61,63,63.1,65.1
390003,高知県,58.8,58.8,54.5,54.6,50.9,51.7,53.6,55.6,57.3
400009,福岡県,,65.8,67.7,69.1,70.8,72.4,73.8,74.2,74.3
410004,佐賀県,,59.9,59.9,63.3,64.5,65.3,64.9,66.4,67.3
420000,長崎県,74.9,76.2,36.8,39.5,42.1,44.7,47.3,49.9,52.3
430005,熊本県,,,,70,71.1,71.8,70.2,61.4,62.9
440001,大分県,,64,62.8,64.1,53.9,54.5,55.8,55.6,56.9
450006,宮崎県,,65.1,69.4,70.9,71.5,52.4,54.4,56.3,58.2
460001,鹿児島県,,56.5,61.1,62.1,64.2,66.5,68.5,70.4,73
470007,沖縄県,,35.8,38,52.1,54.9,55.9,55.9,57.3,57.6
