団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,60.2,62.2,62.7,63.3,64.3,63.5,61.9,64
020001,青森県,,,10,12.3,14.6,17,19.3,21.2,23.5
030007,岩手県,,78.8,80.7,82.6,84.4,86.2,88,86.8,88.4
040002,宮城県,,55.5,52.5,51.8,53.9,56,58,60,62.2
050008,秋田県,,58.6,60.2,61.8,63.5,63,46.9,48.1,49.9
060003,山形県,,,,,,,,,
070009,福島県,67.4,68.7,67.7,72.5,68,69.1,68.7,63.6,61
080004,茨城県,,,,,,,,,
090000,栃木県,,57.3,57.9,56.5,55.4,57.1,58.7,60.3,58.1
100005,群馬県,,,,73.3,75.2,76.1,75.5,77.5,79.6
110001,埼玉県,,68.5,69.1,71,73.1,71,71.4,69.3,71.4
120006,千葉県,,60.5,57,58.5,60.3,60.4,61.8,64.1,65.8
130001,東京都,47.1,37.7,38.8,33.5,35.5,34.9,34,36.5,39.1
140007,神奈川県,,,71.8,71.8,73.3,74.6,75.9,77.2,78.6
150002,新潟県,,,74.1,75.6,76.6,74.8,68.8,70.3,71.2
160008,富山県,,78.3,80.6,81.1,83.5,81,76.3,78,79.2
170003,石川県,,71.1,72.8,74.5,76.3,77.9,79.4,80.9,82.4
180009,福井県,,69.3,71.1,72.8,74.5,76,73,74.5,76
190004,山梨県,33.6,50.8,52.9,58.1,57,58,59.4,61.4,63.5
200000,長野県,,52.9,55,57.1,60.4,62.4,61.3,63.3,64.7
210005,岐阜県,100,100,100,,,,,,
220001,静岡県,,67.2,69,70.9,73.1,74.7,76.6,78.4,80
230006,愛知県,64.9,71.8,74.6,75.5,72.1,71.3,69.3,69.8,71.1
240001,三重県,,76.4,78.5,80.4,82.4,84.3,,,
250007,滋賀県,67.9,69.7,71.3,72.8,74.1,75.4,76.7,78,
260002,京都府,,,,,,,,,
270008,大阪府,,,,51.6,53.1,54.6,55.2,55.7,59.1
280003,兵庫県,,70,71.6,24.7,26.9,28.9,31.1,33.3,35.1
290009,奈良県,,,,,,4.2,6.3,8.5,10.7
300004,和歌山県,,61.2,63.3,59.1,59.8,60.7,60.7,59.6,61.1
310000,鳥取県,,79.2,81.2,91.5,92.8,94.1,94.3,94.9,95.6
320005,島根県,,,,,,,,,
330001,岡山県,,90.7,92.4,95.2,96.8,98,98.7,99,99.2
340006,広島県,,,,,,,,,
350001,山口県,,49.2,51.2,46.7,44.9,47.2,50.2,52.3,54.4
360007,徳島県,,54.2,56,58.3,59.9,61.7,63.5,65.3,67
370002,香川県,,63.7,65.7,71,73.2,75.1,77.2,79.8,80.8
380008,愛媛県,,46,48,50,51.1,53.1,55.1,57,59
390003,高知県,56.2,65.4,67.4,69.4,71.4,73.4,75.4,77.4,78.3
400009,福岡県,,64.7,66.8,68.9,66.9,68.8,70.6,72.3,73.9
410004,佐賀県,,78.1,78.1,56.3,59.2,61.7,64.1,66.8,69.2
420000,長崎県,62.7,64,63.3,65.1,66.9,68.7,70.4,72.2,73.4
430005,熊本県,,,,88.6,90.2,91.6,92.8,92.6,94.1
440001,大分県,,61.1,63.3,45.5,46.9,46.5,48.1,41.8,43.3
450006,宮崎県,,51,53.2,55,56.7,58.5,60.2,61.9,63.6
460001,鹿児島県,,42.5,44.6,46.4,48.8,49.9,50.5,52,56.9
470007,沖縄県,,42.8,44.8,53.7,55.7,56.3,58.4,60.4,61.6
