団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,83.6,83.2,70.9,71.7,72.7,73.6,74.6,75.5
020001,青森県,,,48.2,50.2,52.2,54.2,56.2,57.5,59.5
030007,岩手県,,22,24,26,28,30,32,34,36
040002,宮城県,,42.3,43.7,45.7,47.7,49.5,51.5,53.6,55.7
050008,秋田県,,41.5,43,44.9,46.7,48.4,49.6,51.4,53.1
060003,山形県,,,,,,,,,
070009,福島県,68.8,70.6,72.4,74.1,75.9,77.7,77.9,79.8,79.9
080004,茨城県,,,,,,,,,
090000,栃木県,,75.3,77.4,79.4,81.4,83.4,83.8,84.3,84.7
100005,群馬県,,,,80.6,82.9,85.2,87.5,89.8,92.1
110001,埼玉県,,76.5,78.1,79.6,81.2,82.5,83.8,84.9,86.2
120006,千葉県,,55.4,57.3,59.1,60.7,62.2,63.1,64.8,66.4
130001,東京都,82.1,24.1,26.1,29.2,31.2,33.2,35.2,37.3,38.8
140007,神奈川県,,,86.1,84.9,85.9,88.2,90.3,43.3,45.7
150002,新潟県,,,55.6,56.8,59.1,61.5,63.8,66.2,68.5
160008,富山県,,62,63.4,64.8,66.2,67.6,69,70.4,71.8
170003,石川県,,100,100,100,100,100,100,0,2.6
180009,福井県,,44.2,46.5,48.8,51.2,53.5,56.8,59.2,61.6
190004,山梨県,8.5,10.7,12.8,15,17.1,19.2,21.3,23.1,25.2
200000,長野県,,74.1,70.3,70.1,72.1,73.6,72.3,74.4,76.6
210005,岐阜県,42.1,44.2,46.2,48.2,48.4,50.4,52.7,54.9,57.1
220001,静岡県,,97,97.2,97.5,97.7,98,98.2,98.5,98.7
230006,愛知県,62.8,64.4,65.4,67.1,68.6,70.2,71.7,73.2,74.7
240001,三重県,,44,46,48,50,52,,,
250007,滋賀県,56.7,58.7,60.7,62.7,64.8,66.6,68.6,70.6,
260002,京都府,,,,,38.1,40.1,42.1,44.1,46.1
270008,大阪府,,,,45.4,47.3,49.3,51,51.4,54.4
280003,兵庫県,,72,44.3,46,47.7,49.4,51.1,52.8,54.5
290009,奈良県,,,,,,10,12,15.8,17.8
300004,和歌山県,,48,49.8,51.8,53.8,55.8,57.9,59.9,61.9
310000,鳥取県,,54.2,56.2,58.2,58,60,62.1,64.1,60.5
320005,島根県,,,,,,,80.9,78.7,79.9
330001,岡山県,,34.8,37.2,39.5,41.4,43.2,45,46.7,48.4
340006,広島県,,,,,,,,,
350001,山口県,,88.1,90.1,92.1,94.1,96.1,98,99.9,99.9
360007,徳島県,,75.9,77.4,72.2,69.6,71.4,76.7,82.1,87.5
370002,香川県,,47.3,48.9,50.4,52,53.6,55.8,58,60.2
380008,愛媛県,,84.2,86.2,88.2,90.2,92.2,94.2,96.2,98.2
390003,高知県,83.8,85.8,9.5,13.1,16.7,20.1,23.7,27.2,30.6
400009,福岡県,,69.2,71.2,73.2,75.2,77.2,79.2,81.2,83.2
410004,佐賀県,,91.4,91.4,83.3,84,84.4,84.9,80.1,80.8
420000,長崎県,94.8,95,95.2,95.4,10.9,14.6,16.7,20.2,23.8
430005,熊本県,,,,67.3,68.7,70.7,70.4,71.9,60.8
440001,大分県,,49.4,51.2,53.1,54.5,55.3,57.1,58.1,57.4
450006,宮崎県,,58.4,60.4,62.4,64.4,66.4,68.4,70.4,72.4
460001,鹿児島県,,52.4,54.3,56.3,57.7,59.7,61.7,63.7,65.8
470007,沖縄県,,67.4,69.4,10.3,2.9,5.8,8.8,11.7,14.6
