団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,57,57.1,58.2,58.9,58.8,62,62.8,64.2
020001,青森県,,,52.1,49.8,50.9,52.4,54.1,53.7,55.5
030007,岩手県,,52.3,48,49.6,45.9,47.4,44.9,46.6,48.3
040002,宮城県,,56.4,57.5,55.6,57.3,57.2,59.1,60.5,61.3
050008,秋田県,,49.7,50.8,49.7,53.6,55.4,56.3,57,54.3
060003,山形県,,,,,,,,,
070009,福島県,65.1,67.9,50.4,51.9,53.6,55.7,57.9,59.4,61.2
080004,茨城県,,,,,,,,,
090000,栃木県,,53.5,54.8,57.3,58.8,60.7,62.8,64.5,65.1
100005,群馬県,,,,48.6,50.4,52.2,50.4,52.4,54.3
110001,埼玉県,,56.6,53.8,52.8,71.3,47,49.6,52.1,54.7
120006,千葉県,,61.3,59.6,61.4,61.5,58.5,57.8,56.8,56.5
130001,東京都,34.5,34.5,36.2,45.6,45.9,46.3,47.8,48.8,50
140007,神奈川県,,,50.9,51.4,52.1,53,53,54.9,55.4
150002,新潟県,,,58.8,57.4,54.9,54.1,51.1,52.5,53.9
160008,富山県,,45.4,49.7,51.7,49.5,46.9,49.1,51.2,52.4
170003,石川県,,62.9,64.6,64.3,64.5,66,64.8,65.7,66.9
180009,福井県,,56,57.4,59.3,54.3,54.5,57.1,56,58
190004,山梨県,55.6,57.8,60.5,61.9,59.9,57.8,60,61,62.8
200000,長野県,,53.7,48.4,48.3,48.6,52.2,48.8,50,50.6
210005,岐阜県,54.9,51.4,52.5,50.2,50.9,49.9,51,53.6,53.7
220001,静岡県,,59.1,60.8,61.8,62.6,62.9,63,66,62.9
230006,愛知県,64.7,63.4,63.4,63.8,61.3,63.4,61.1,61.2,61.5
240001,三重県,,55.7,55,56.6,56.3,59.6,,,
250007,滋賀県,35.9,37.2,36.5,38.2,39,38.9,38.1,40.7,
260002,京都府,,,,,41.7,41.8,44.1,44.5,46.8
270008,大阪府,,,,44.2,46.8,49.9,51,53.6,57.6
280003,兵庫県,,63.8,64.7,65,66.2,67.2,68.2,67.9,68.8
290009,奈良県,,,,,,20,20.9,21.3,22.5
300004,和歌山県,,40.8,42.8,45.9,48.5,49.4,51.6,53.8,55.8
310000,鳥取県,,40.5,42.3,44.3,43.5,44.9,46.6,48.7,50.5
320005,島根県,,,,,,,68.8,70.4,71.3
330001,岡山県,,58.1,58.3,59.4,61.6,48.8,51.1,53.4,55.7
340006,広島県,,,,,,,,,
350001,山口県,,56.8,59,57.6,59.2,59.8,61,62.7,63.7
360007,徳島県,,57.9,59.7,70.3,70.2,63.9,65.6,65.5,68.1
370002,香川県,,49.6,52.4,52,55.3,58.4,61.1,61,63.8
380008,愛媛県,,51.6,52.6,54.3,51.7,53.5,55.6,47.9,50.2
390003,高知県,53.6,54.3,55.4,56.2,58.1,59.7,57.7,59.6,61.6
400009,福岡県,,55.1,56.7,56.8,57.9,59.4,59.6,61.3,62.8
410004,佐賀県,,41.8,41.8,51.3,53.7,55.6,58.2,60.1,54.5
420000,長崎県,70.1,67,45.8,48.4,45.2,48.1,50.2,52.4,55.2
430005,熊本県,,,,46.1,47.9,47.4,49.2,51,52.2
440001,大分県,,38.5,36.5,36.9,40.5,42.3,43.9,45.4,47.4
450006,宮崎県,,44.5,44.4,46.2,47.7,49.6,51.3,52.7,53.5
460001,鹿児島県,,47.1,46.8,48.2,49.2,52.2,50.4,50.9,52.4
470007,沖縄県,,42.7,43.6,40.7,40.3,42.7,43.5,45.1,46.9
