団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,54.4,55.2,56.3,57.6,58.4,59.8,61.2,63
020001,青森県,,,69.9,72.3,74.7,75.1,77.2,75.4,77.2
030007,岩手県,,56.1,54.3,53.9,55,54.4,56.4,58.1,59.7
040002,宮城県,,74.1,75.6,77,78.2,79.4,81,82,83.3
050008,秋田県,,55.3,57.6,59.8,61.9,64.2,64.8,66.9,69
060003,山形県,,,,,,,,,
070009,福島県,58.7,42.9,33.4,36.3,37.3,39.9,42.5,45.7,47.1
080004,茨城県,,,,,,,,,
090000,栃木県,,55.8,57.6,59.1,61,62.5,64.6,66.5,68.4
100005,群馬県,,,,64.7,66.8,68.1,68.9,70.4,72.2
110001,埼玉県,,51.3,52.6,54.1,57.2,57.4,58.7,59.6,61.4
120006,千葉県,,62,63.5,65.1,66.9,68.6,69.2,70.5,71.2
130001,東京都,41.7,42.7,43.5,53.1,53.9,55,56.3,57.3,58.5
140007,神奈川県,,,74.7,75.9,76.8,77.6,78.5,79.5,79.3
150002,新潟県,,,76,78,78.8,79.3,79.1,78.4,78.7
160008,富山県,,78.4,80.1,81.7,83.3,84.6,85.8,87,88.1
170003,石川県,,62.2,63.7,64.9,66.4,67.7,69.4,71.3,71.9
180009,福井県,,66.2,68.3,70.2,71.6,73.4,75.1,76.4,77.9
190004,山梨県,59.8,61.2,62.1,63.5,64.7,66.2,67.7,69.3,69.9
200000,長野県,,69.6,71,72,72.9,74.4,74.8,75.9,77.2
210005,岐阜県,75.2,77.2,79.1,80.4,82.1,83.7,85,86.2,86.7
220001,静岡県,,62.8,63.4,64.2,65.9,66,67.2,70,70.6
230006,愛知県,63.1,64.5,65.7,66.6,67.8,68.8,69.4,70.6,71.1
240001,三重県,,74,75.5,77.1,78.9,80.5,,,
250007,滋賀県,57.6,58.6,60.4,62.2,63.5,64.1,65.9,67.4,
260002,京都府,,,,,80.7,81.1,82.2,83.4,84.6
270008,大阪府,,,,52,52.6,54,55,55.3,57.7
280003,兵庫県,,49.4,50.5,51.5,51.7,52.6,53.5,54.4,54.8
290009,奈良県,,,,,,79.6,81.5,83.5,85.3
300004,和歌山県,,65.8,66.3,68,70.2,71.1,72.8,74.5,76.2
310000,鳥取県,,64.3,65.5,66.8,68.2,69.3,70.5,71,71.7
320005,島根県,,,,,,,67.5,68.7,66.9
330001,岡山県,,74.1,75.7,77.1,78.6,80,81.3,82.5,83.7
340006,広島県,,,,,,,,,
350001,山口県,,55.1,56.8,58.4,57.8,59.3,60.8,62.3,63.8
360007,徳島県,,53.9,55.6,57.7,59.8,62,64.1,66.1,68.1
370002,香川県,,76.8,78.5,79.7,81.5,81.8,83.1,84.5,85.2
380008,愛媛県,,54.8,56.7,58.8,60.7,62.7,64.5,66.3,68.1
390003,高知県,55.2,57.4,58.7,59.9,61.1,63,65,65.2,66.5
400009,福岡県,,53.6,55.1,56.5,57.2,58.6,59,60.3,62
410004,佐賀県,,68.9,68.9,71.9,72.6,73.7,74.5,75.7,76.6
420000,長崎県,57.9,59.5,61.6,63.2,65.3,67.3,69.2,71,63
430005,熊本県,,,,77.2,79,80.7,72.8,83.3,84.7
440001,大分県,,57.3,59.3,60.6,63.3,65.2,67.1,68.9,70.6
450006,宮崎県,,60.6,62.5,64.3,65.6,67.5,69.3,71.1,72.4
460001,鹿児島県,,65.4,66.8,68.5,69.6,70.9,72.3,73.6,74.1
470007,沖縄県,,50.1,51.6,54.4,54.8,56,56.6,58.8,59.1
