団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,61,62.4,63.6,64.9,65.7,67.1,68.8,70.8
020001,青森県,,,55.7,57.6,59.3,59.5,61.5,59.7,60.8
030007,岩手県,,66.3,67.2,67.8,69.1,70.1,70.9,71.5,73.9
040002,宮城県,,56.9,57.8,57,56,56.6,55.5,56.1,55.4
050008,秋田県,,40.8,41.3,42.3,44.3,45.9,48,48.4,49.5
060003,山形県,,,,,,,,,
070009,福島県,71.4,72,72,72,69.6,68.8,72.1,72.9,72.4
080004,茨城県,,,,,,,,,
090000,栃木県,,65.4,66.8,68,68.9,70.6,72.3,74,75.4
100005,群馬県,,,,62.4,64.9,65.1,66.7,67.8,69.2
110001,埼玉県,,74.8,74.8,75.6,79.4,76.7,78.2,76.7,76.5
120006,千葉県,,71.7,72.7,74,75,76.2,77.6,78.3,79.2
130001,東京都,44.9,44.9,46.2,54,54.3,53.3,53.7,54.6,55.3
140007,神奈川県,,,74,73.7,73,73.3,73.3,71.4,71
150002,新潟県,,,79.7,79.5,79.9,82.1,80.9,78.1,78.2
160008,富山県,,63.9,65.2,66.1,62.4,63.1,64,64.8,66.2
170003,石川県,,66.5,66.1,66.9,67.8,68.8,70.4,72,73.5
180009,福井県,,64.2,64.4,66,67.8,68.8,69.2,69.3,69.9
190004,山梨県,49.1,50.7,52,54,52.8,54.2,55.1,56.9,59
200000,長野県,,71.7,70.1,71.6,72.5,76.2,75.4,76.5,77.7
210005,岐阜県,68.9,69.5,71,71.5,72.9,74,75.2,73.6,74.8
220001,静岡県,,68.3,70.1,71.6,72.7,74.8,76,77.7,79
230006,愛知県,75.8,77,78.1,77.9,79.1,79.5,79,80.1,79.4
240001,三重県,,70.6,71.7,73,74.7,75.2,,,
250007,滋賀県,72.3,70.4,72.6,72,71.1,72.4,73.4,74.5,
260002,京都府,,,,,,,,,
270008,大阪府,,,,69.2,69.5,70.7,71.3,69.5,70.8
280003,兵庫県,,61.4,63,64.1,65.5,66.1,68.4,69.9,70.5
290009,奈良県,,,,,,49.7,52.1,54.8,56.4
300004,和歌山県,,76.7,77.7,77.5,78.5,79.7,81.1,79.5,77.8
310000,鳥取県,,54,55.1,57,58.6,60.3,61.9,63.2,64.3
320005,島根県,,,,,,,58.8,59.8,60.9
330001,岡山県,,71.9,72.8,73.7,74.5,75.5,76.3,77.2,78.2
340006,広島県,,,,,,,,,
350001,山口県,,68.2,68.7,69.1,66.5,66.9,68.3,70.2,70.8
360007,徳島県,,48.3,49,50.9,46.1,48.6,50.1,53,54.7
370002,香川県,,42.3,43.4,44.4,45.8,48,49.7,51.9,53.2
380008,愛媛県,,59.5,53.4,55.5,57.5,59.7,61.8,63.9,66
390003,高知県,60.4,60,60,60.2,62.3,63.1,63,65,64.7
400009,福岡県,,57.6,58.9,60.4,61.8,62.8,63.3,63.7,63.9
410004,佐賀県,,44.6,44.6,70.9,72.3,70.8,70,70.4,48.8
420000,長崎県,70.1,71.6,71.7,73,73.9,75.7,77.3,78.9,77.6
430005,熊本県,,,,75.8,75.1,76.5,77.1,78,76
440001,大分県,,48.2,49.5,49.6,52.2,53,53.8,54.8,55.5
450006,宮崎県,,77.5,79.1,80.1,81.3,82.2,83,83.7,84.5
460001,鹿児島県,,56.7,56.3,56.8,56.1,57.1,57.1,55.1,56.2
470007,沖縄県,,41.5,42.6,45.5,46.9,45.7,46.2,46.4,48.3
