団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
011002,北海道札幌市,,80.6,79.4,77.5,73.8,74,72.6,73.3,71.4
012025,北海道函館市,,72.1,74.5,77.1,79,81.4,82.8,82.8,82.8
012033,北海道小樽市,,100,,,,100,100,100,31.7
012041,北海道旭川市,50.8,53.1,55.4,56.8,59,63.8,63.6,65.9,67.7
012050,北海道室蘭市,79.7,83.8,86.3,88,97.4,100,,,
012068,北海道釧路市,,59,61.3,62.7,64.8,66.7,69.2,71.3,72.9
012076,北海道帯広市,,,,,,,,,
012084,北海道北見市,62.7,60.4,51.2,46.1,49.4,52,67.6,70,72.4
012092,北海道夕張市,,,,,,,,,
012106,北海道岩見沢市,,84.4,82.9,63.2,65.4,67.6,69.8,82.8,70.3
012114,北海道網走市,,93.2,96.9,97.7,98.5,80.5,99.2,100,100
012122,北海道留萌市,59.5,68.1,71.2,74.3,77.5,80.6,81.5,84.4,83.7
012131,北海道苫小牧市,67.8,71.9,76.2,80.3,84.3,86.9,91.6,92.4,80.2
012149,北海道稚内市,,60,61.9,63.7,65.9,67.7,69.5,69.1,58.2
012157,北海道美唄市,,,93,94.5,96.1,100,100,100,100
012165,北海道芦別市,48.4,50.6,52.8,55,57.2,59.4,61.6,62.7,64.3
012173,北海道江別市,,66.2,68.8,71.3,73.9,76.3,78.4,78.7,79.9
012181,北海道赤平市,84.9,91.8,93.5,94.9,96.6,96.9,96.9,97.3,97.5
012190,北海道紋別市,33.8,31.7,67.4,40.7,44,33.9,36.3,33,30.8
012203,北海道士別市,30.9,34.9,38.9,42.9,18.5,19.4,24,28.6,33.2
012211,北海道名寄市,89.5,93.8,95.2,96.4,97.9,99.3,100,100,100
012220,北海道三笠市,100,100,100,91.2,91.4,87.9,90.8,90.4,86.4
012238,北海道根室市,70.2,72.9,75.6,78.3,81,83.7,86.4,89.1,91.8
012246,北海道千歳市,41.2,38.7,44.2,47.3,50.5,53.2,73.5,60.5,57.7
012254,北海道滝川市,,,74.5,76.6,78.7,80.9,83,85.1,87.2
012262,北海道砂川市,,,,,,,,,
012271,北海道歌志内市,84.7,84.7,87.2,89.7,94.7,97.2,97.2,98.6,97.2
012289,北海道深川市,,64,,,,72,74,76,78
012297,北海道富良野市,,,76.5,77.7,78.8,77.4,77.7,79.2,79.2
012301,北海道登別市,79.9,81.4,46.9,48.3,51.8,54.7,54.8,57.9,61
012319,北海道恵庭市,100,100,100,,,,,,
012335,北海道伊達市,23.7,28.6,33.4,38.3,43.2,48,51,55.6,60.2
012343,北海道北広島市,,56,55.2,40,44.1,47.7,10.6,12.9,60.3
012351,北海道石狩市,28.6,30.8,33.1,35.4,37.7,40,42.3,21,22.3
012360,北海道北斗市,33.3,36,38.8,41.5,44.3,47,49.6,52.2,54.8
013030,北海道当別町,,,,,,,,,
013048,北海道新篠津村,,,,,,,,,
013315,北海道松前町,,,,,,,,,
013323,北海道福島町,,,,,,,,,
013331,北海道知内町,,,,,,,,,
013340,北海道木古内町,,,,,,,,,
013374,北海道七飯町,,,,48.2,,,,,
013439,北海道鹿部町,,,,,,,,,97.7
013455,北海道森町,100,100,100,100,,,,,
013463,北海道八雲町,100,100,100,100,100,73.8,75.5,77.3,79.1
013471,北海道長万部町,,,,,,,,,
013617,北海道江差町,97.9,98.3,,,,71.2,73.5,77.5,79.6
013625,北海道上ノ国町,100,,100,100,100,100,100,93.2,93.5
013633,北海道厚沢部町,,,,,,,,,
013641,北海道乙部町,,,,,,,,,
013676,北海道奥尻町,,,,,,,,,
013706,北海道今金町,10.1,,,,,,,,
013714,北海道せたな町,,95.5,100,100,100,100,100,100,100
013919,北海道島牧村,,100,100,79.3,80,80.6,98,100,100
013927,北海道寿都町,,,,,,,,,
013935,北海道黒松内町,83.6,76.6,,92.8,96.3,96.5,96.7,96.7,97.1
013943,北海道蘭越町,,,,,,,,,
013951,北海道ニセコ町,,,,,,,,,
013960,北海道真狩村,,,,,,,,,
013978,北海道留寿都村,,,,,,,,,
013986,北海道喜茂別町,,,,,,,,,
013994,北海道京極町,,,,,,,,,
014001,北海道倶知安町,68.2,70.4,,18.5,77,79.2,81.4,83.6,85.8
014010,北海道共和町,,,,,,,,,
014028,北海道岩内町,,,,,,,,,
014036,北海道泊村,,,,,,,,,
014044,北海道神恵内村,,,,,,,,,
014052,北海道積丹町,,,,,,,,,
014061,北海道古平町,,,,,,,,,
014079,北海道仁木町,,100,100,100,100,97.1,97.3,97.6,7.3
014087,北海道余市町,84.7,,96.2,96.4,96.7,96.9,97.2,97.4,97.7
014095,北海道赤井川村,,,,,,,,,
014231,北海道南幌町,,,,,,,,,
014249,北海道奈井江町,100,,,100,100,100,100,100,100
014257,北海道上砂川町,50,52.5,54.5,10.8,12.1,16.4,19.2,22.3,25.4
014273,北海道由仁町,,,,,,,,,
014281,北海道長沼町,,,,0,2.2,4.4,6.7,8.9,11.2
014290,北海道栗山町,56.3,59.4,62.5,65.5,68.6,69.6,70.9,74.1,75.4
014303,北海道月形町,,,,,,,,,
014311,北海道浦臼町,,,,,,,,,
014320,北海道新十津川町,46.2,50.6,52.8,52.3,54.5,56.7,58.9,61.1,63.3
014338,北海道妹背牛町,,,,,,,,,
014346,北海道秩父別町,,,,,,,,,
014362,北海道雨竜町,,,,,,,,,
014371,北海道北竜町,,,,,,,,,
014389,北海道沼田町,,20.2,20.2,23.4,15.4,13.2,19.8,22,24.2
014524,北海道鷹栖町,91.9,93.1,94.2,95.4,96.6,97.7,98.9,100,100
014532,北海道東神楽町,,,,,,,,,
014541,北海道当麻町,,,,,6.6,,,,
014559,北海道比布町,,100,100,100,6.6,100,100,100,100
014567,北海道愛別町,,,,,,,,,
014575,北海道上川町,,,,,,,,,
014583,北海道東川町,,,,,,,,,
014591,北海道美瑛町,100,100,100,100,53.7,54.8,55.8,69.1,69.9
014605,北海道上富良野町,100,100,100,100,100,100,96.9,92.9,93.3
014613,北海道中富良野町,,54,56,58,60,62,64,66,66
014621,北海道南富良野町,,,,,,,,,
014630,北海道占冠村,,,,,,,,,
014648,北海道和寒町,100,100,100,98.2,98.3,94.8,90.7,91.4,92
014656,北海道剣淵町,23,27.6,32.2,36.8,41.4,45.4,50.1,54.7,59.3
014681,北海道下川町,,,62.6,66.3,70,73.7,77.3,81,84.7
014699,北海道美深町,,25.2,29.4,33.6,37.8,42,42,48.4,52.7
014702,北海道音威子府村,,,,,,,,,
014711,北海道中川町,,,,,,,,,
014729,北海道幌加内町,,,,,,,,,
014818,北海道増毛町,,,,,,,,,
014826,北海道小平町,,,,,,,,,
014834,北海道苫前町,,,,,,,,,
014842,北海道羽幌町,,,,,,,,,
014851,北海道初山別村,,,,,,,,,
014869,北海道遠別町,,,,,,,,,
014877,北海道天塩町,,,,,,,,,
015113,北海道猿払村,,,,,,,,0,0
015121,北海道浜頓別町,,,,,,,,,
015130,北海道中頓別町,,,,,,,,,
015148,北海道枝幸町,,50.6,53.1,55.5,58,59.7,62.2,64.5,66.7
015164,北海道豊富町,,,,,,,,,
015172,北海道礼文町,,,,,,,,,
015181,北海道利尻町,,,,,,,,,
015199,北海道利尻富士町,,,,,,,,,
015202,北海道幌延町,,,,,,,,,
015431,北海道美幌町,,77,79.2,81.4,83.6,85.8,88,90.2,92.4
015440,北海道津別町,,,,,,,,,100
015458,北海道斜里町,97.7,96,42.8,32.8,34.8,36.9,39,41.1,43.2
015466,北海道清里町,,,,,,,,,
015474,北海道小清水町,,45.8,39.9,42.9,45.9,48.9,51.9,54.9,56.2
015491,北海道訓子府町,13.8,13.8,23,27.6,32.2,36.8,38.4,43.1,48.1
015504,北海道置戸町,,,,,,,,,
015521,北海道佐呂間町,48.5,66,68,70,72,74,76,78,80
015555,北海道遠軽町,,96.4,,100,100,100,100,100,100
015598,北海道湧別町,,50.7,51,54,57,58.3,60.1,64.7,67.8
015601,北海道滝上町,78.9,75.8,45.2,48.1,78.2,79.6,80.5,81.8,82.3
015610,北海道興部町,,,,,,,,,
015628,北海道西興部村,,,,4.6,9.3,13.8,18.4,23,27.6
015636,北海道雄武町,,44,44.7,46.9,49.1,51.3,53.5,56,57.9
015644,北海道大空町,45,48,51,32.9,36.5,40.1,43.3,47,50.6
015717,北海道豊浦町,,,,,,,,,
015750,北海道壮瞥町,15.4,15.4,17.6,19.8,22,24.2,26.4,28.6,30.8
015784,北海道白老町,100,68.3,69.8,71.2,72.7,74.1,100,100,100
015814,北海道厚真町,43.2,12.7,17,21.3,25.6,29.9,34.3,38.6,42.8
015849,北海道洞爺湖町,,,,,,,,,
015857,北海道安平町,,,,,,,,,
015865,北海道むかわ町,,,,,,,39.9,44.3,48.4
016012,北海道日高町,,86.4,89.1,20.4,23.3,26.3,29.3,31.6,34
016021,北海道平取町,,,,,,,,,
016047,北海道新冠町,99.3,99.4,99.5,99.6,99.7,99.8,99.9,96.5,97
016071,北海道浦河町,,100,100,100,100,100,100,100,100
016080,北海道様似町,,,,,,,,,
016098,北海道えりも町,,,,,,,,,
016101,北海道新ひだか町,,,,84.4,85.9,87.3,87.7,88.2,85.4
016314,北海道音更町,,100,100,100,100,100,100,100,100
016322,北海道士幌町,,,,,,,,,
016331,北海道上士幌町,,,,,,,,,
016349,北海道鹿追町,,100,,66.8,69.3,71.8,74.3,76.8,79.3
016357,北海道新得町,,43.3,46.9,50.6,54.3,57.5,61.2,64.9,68.6
016365,北海道清水町,,97.2,99.9,100,100,100,100,100,100
016373,北海道芽室町,100,100,100,100,83.4,85.8,88.2,90.6,93
016381,北海道中札内村,,75.1,72.3,75,77.5,78,63,64.5,67.8
016390,北海道更別村,,,,,,,,,
016411,北海道大樹町,,,,,83.1,,,,
016420,北海道広尾町,,93.3,100,100,100,100,100,100,100
016438,北海道幕別町,,,,,,,,,
016446,北海道池田町,100,,,,,,,,
016454,北海道豊頃町,,,,,,,,,
016462,北海道本別町,,90.7,92.7,94.6,,98.4,100,100,100
016471,北海道足寄町,,27.6,30.8,34,36.9,40.1,43.3,46.5,49.6
016489,北海道陸別町,,,,,,,,,
016497,北海道浦幌町,,,100,100,100,100,100,100,100
016616,北海道釧路町,,,,,,87.5,84.8,85.8,86.8
016624,北海道厚岸町,,88.9,28,96.9,100,98,98,98,98
016632,北海道浜中町,,,,,,,,,
016641,北海道標茶町,,,97.6,98.2,98.8,99.2,100,100,100
016659,北海道弟子屈町,,100,100,100,100,100,100,100,100
016675,北海道鶴居村,,,,,,2.2,9.2,14.3,18.5
016683,北海道白糠町,,71.4,58.7,60.5,63.2,63.7,70.1,72.8,75.1
016918,北海道別海町,40.1,44.7,49,51.6,55.1,58.6,62.1,65.6,63.7
016926,北海道中標津町,,9.2,11.3,13.4,11,13.2,15.4,17.6,19.8
016934,北海道標津町,44.4,47.4,50.4,53.3,56.3,59.2,62.2,65.2,68.1
016942,北海道羅臼町,,,,,,,,,
022012,青森県青森市,,18.1,22.2,26.4,30.5,34.5,38.8,44.1,48.1
022021,青森県弘前市,,61.2,64.3,67,69.7,72.8,75.4,76.7,78.5
022039,青森県八戸市,,67.6,65.2,68.1,62.2,65,67.7,70.5,73.2
022047,青森県黒石市,77.9,80,82.1,83.2,84.2,85.3,86.3,87,88
022055,青森県五所川原市,,100,100,100,100,,,,
022063,青森県十和田市,,,,,,,,,
022071,青森県三沢市,,49.4,52.6,55.7,58.5,61.1,63.6,65.8,68
022080,青森県むつ市,,98.2,99.5,100,,,,,
022098,青森県つがる市,45.3,18.4,23,27.6,32.2,36.8,41.4,46,50.6
022101,青森県平川市,,40,42.4,,,49.2,44.7,46.9,49
023019,青森県平内町,,93,93.5,100,100,100,100,100,100
023035,青森県今別町,,,,,,,,,
023043,青森県蓬田村,,,,,,,,,
023078,青森県外ヶ浜町,,,,,,,,,
023213,青森県鰺ケ沢町,,,,,,,100,100,98.7
023230,青森県深浦町,,,,,,,,,
023434,青森県西目屋村,,,,,,,,,
023612,青森県藤崎町,,,,,,,,,
023621,青森県大鰐町,,80.9,82.2,82.7,84.2,85.5,87.4,89.4,91.3
023671,青森県田舎館村,100,100,,57.5,72.7,17.2,20.5,17.6,21
023817,青森県板柳町,,,,,,,,,
023841,青森県鶴田町,,,,,,,,,
023876,青森県中泊町,,,,,,,,,
