団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
011002,北海道札幌市,,50.7,51.6,52.2,56.9,57.2,59.3,61.1,64.4
012025,北海道函館市,,67.6,66.7,66.9,65.4,66.8,72.9,66.5,74.7
012033,北海道小樽市,,70.3,,,,70.6,63.7,64.4,67.7
012041,北海道旭川市,77.5,78.2,79.1,79.9,80.7,81,83.4,82.8,25.8
012050,北海道室蘭市,90.5,91.1,91,90.9,89.6,89.7,90.1,89.8,90.3
012068,北海道釧路市,,49.6,50.9,52.2,53.5,54.8,56.1,57.4,58.3
012076,北海道帯広市,,51.4,53.5,55.6,57.5,59.5,61.5,63.4,65.4
012084,北海道北見市,37.3,41.6,43.8,44.5,43.2,13,16.8,20.8,23.8
012092,北海道夕張市,,79.5,81.3,83,84.7,86.4,88.1,89.8,91.5
012106,北海道岩見沢市,,47.7,49.6,51.7,53.7,55.7,15,11.7,13.7
012114,北海道網走市,,100,100,100,100,100,100,100,100
012122,北海道留萌市,91,88.5,89.3,90,90.6,91.3,92.2,90.2,91.1
012131,北海道苫小牧市,64.5,66.5,68.5,70.5,72.5,74.5,76.4,78.2,83.7
012149,北海道稚内市,,97.6,99.3,99.3,99.4,98,98.2,98.4,98.6
012157,北海道美唄市,,82.8,84,86,88,88.1,81.9,78.9,76.9
012165,北海道芦別市,44,46,48,50,52,54,54.4,56.6,58.8
012173,北海道江別市,,62.5,64.5,66.4,65.6,67.1,68.7,70.3,71.9
012181,北海道赤平市,62.6,71.6,73.7,60.4,62.6,64.8,64.8,69.1,71.3
012190,北海道紋別市,99.5,99.3,99.3,99.4,99,99.6,99.3,85.1,76.5
012203,北海道士別市,99.6,99.7,99.7,99.7,93.5,43.7,35.3,36.7,38.1
012211,北海道名寄市,83,84.4,86.4,88.4,89.4,90.4,91.3,92.3,93.3
012220,北海道三笠市,91.1,91.8,93.2,93.9,94.7,95.4,95.9,95,69.5
012238,北海道根室市,84,86,88,90,92,94,96,98,9.3
012246,北海道千歳市,70.6,82.8,84.8,49.1,46.3,47.4,83,85.6,88
012254,北海道滝川市,,,43.8,52.3,48,50,52,54,56
012262,北海道砂川市,86.6,88.7,90.5,92.5,94.5,96.6,0,4.4,8.9
012271,北海道歌志内市,63.7,67.9,70.1,71,72.8,73.8,73.8,74.7,73.8
012289,北海道深川市,,94.1,,,,95.6,95.2,24.9,1.9
012297,北海道富良野市,,,96.4,98,85.9,81.3,78.4,79.6,76.2
012301,北海道登別市,88.8,90.1,88.8,90.1,91.2,92.2,93.1,94.3,94.1
012319,北海道恵庭市,57.5,58.8,56.8,63.6,65.6,67.1,67.8,69.2,71.9
012335,北海道伊達市,79.2,81.4,83.5,84.6,86,79.9,82,84.4,86.6
012343,北海道北広島市,,80.5,8.6,11.5,16.1,20,25.2,29.7,21.7
012351,北海道石狩市,41.7,43.4,45.4,47.1,48.8,50.7,51.8,53.3,55.3
012360,北海道北斗市,68.1,67.8,69.9,72.1,74.3,76.5,78.7,80.9,82.6
013030,北海道当別町,,90,92,94,95.9,88.8,89.9,91,91.4
013048,北海道新篠津村,40.5,43.2,45,47.7,50.5,53.3,56.1,49.9,53.2
013315,北海道松前町,100,,96.6,96.8,96.9,97.1,97.2,97.4,97.5
013323,北海道福島町,41.6,43.6,36.7,39.1,52,53.7,52.3,57.9,60
013331,北海道知内町,,,,,68.7,73.2,77.7,81,85.6
013340,北海道木古内町,89.1,88.6,73.5,76.2,79,79.8,80.5,81.2,55.7
013374,北海道七飯町,,59.1,61.1,63.2,65.2,67.3,69.4,71.4,73.5
013439,北海道鹿部町,,65.1,67.4,69.6,71.9,55.8,58.6,79.1,12.2
013455,北海道森町,77.5,80.8,80.6,81.9,83.3,84.7,85.6,86.4,87.3
013463,北海道八雲町,62.1,65,66.8,65.1,67.3,69.6,71.8,73.8,67.2
013471,北海道長万部町,34,36,37.8,39.9,41.9,43.9,45.9,47.9,50
013617,北海道江差町,44,46,,,,51.7,57.5,57.8,59.6
013625,北海道上ノ国町,66,,49.3,50.6,53.4,37,41.7,46.5,50.6
013633,北海道厚沢部町,77.6,55.9,55.9,59.8,61.8,63.9,66,67.5,69.6
013641,北海道乙部町,65.3,67.6,69.9,68.4,70.6,73.5,49.1,51.7,53.9
013676,北海道奥尻町,,90.5,93.5,93.8,89,89.5,90.4,89.3,89.3
013706,北海道今金町,98,96,96.4,96.7,96.9,99.3,99.6,99.8,100
013714,北海道せたな町,,47,47.2,48.1,46,48.5,51.1,53.7,56.4
013919,北海道島牧村,,66.9,68.2,59.4,60.3,61.1,62,100,100
013927,北海道寿都町,84,86,88,90,92,94,96,98,100
013935,北海道黒松内町,28.6,29.8,,36,39.1,42.1,45.2,45.2,51.4
013943,北海道蘭越町,61.3,61.7,65.3,63.2,63,65.5,67.9,70.4,72.9
013951,北海道ニセコ町,97.2,98.4,100,100,60.2,61,23.7,25.4,14.3
013960,北海道真狩村,60.9,,,,,67.2,70,71.9,73.8
013978,北海道留寿都村,,,,,,,,,
013986,北海道喜茂別町,,94.6,95.1,95.6,95.6,96.2,96.4,96.8,97.4
013994,北海道京極町,86.2,45.7,90.2,92.2,92.4,92.5,92.7,92.9,93.1
014001,北海道倶知安町,99.5,99.5,,99.6,99.7,20,18.7,8.3,13
014010,北海道共和町,55.8,,,59.7,61.8,63.4,64.9,66.5,69.7
014028,北海道岩内町,2.6,,,10.2,10.2,12.9,15.6,18.2,20.9
014036,北海道泊村,,40,42.3,44.5,46.8,49,51.3,53.5,55.7
014044,北海道神恵内村,,,96,98,46.1,50.2,92.8,79.8,94
014052,北海道積丹町,,,85.6,84.9,86.8,89.3,91.8,94.3,95.1
014061,北海道古平町,82.8,83.5,84.2,84.9,,86.2,21.9,3.6,7.4
014079,北海道仁木町,32,40.6,40.6,42.5,44.5,46,47.1,45.2,47.4
014087,北海道余市町,82.2,,89.9,91.9,93.9,95.9,96.7,96.9,97.3
014095,北海道赤井川村,,64.2,66.2,67.8,69.8,71.9,74,76.1,78.1
014231,北海道南幌町,,61.1,63.3,59.7,60.7,34.5,38.9,43.4,47.8
014249,北海道奈井江町,88,,,92,92.4,96,98,100,98.5
014257,北海道上砂川町,62.5,65.7,67.3,68.8,66.4,67.8,17.3,21,25.1
014273,北海道由仁町,64,66,68,,71.9,74,78,78,80
014281,北海道長沼町,51.7,51.7,,58.5,60,61.4,62.9,64.3,61.5
014290,北海道栗山町,48.5,50,49,51,53.3,52.5,54.1,59.2,61.5
014303,北海道月形町,,83,84.7,87.6,90.5,92.5,94.6,96.6,96.6
014311,北海道浦臼町,,,,95.8,95.4,88.9,87.5,88.8,88.6
014320,北海道新十津川町,85.9,92,91.9,93.6,95.7,6.6,1.9,4,6.1
014338,北海道妹背牛町,60,62,63.2,64.4,66.5,68.6,61.3,63.9,66.5
014346,北海道秩父別町,,67.4,68.9,70.4,70.4,72,73.1,74.2,75.4
014362,北海道雨竜町,,62.4,100,8.2,9.8,11.8,13.6,17.1,19.2
014371,北海道北竜町,,54.9,57.1,58.6,60.1,61.6,63.1,64.5,62.9
014389,北海道沼田町,34,36,36.3,37.8,64.1,37.8,43.8,45.8,47.8
014524,北海道鷹栖町,76.8,78.7,79.7,81.5,82.2,83.5,85.3,85.8,83.2
014532,北海道東神楽町,52.2,53.6,,56.4,58.6,57.6,45.3,8.5,4.6
014541,北海道当麻町,80.7,86,32.4,5.2,8.7,12.2,16.4,20.6,20.6
014559,北海道比布町,,86,100,100,8.7,100,99.1,100,100
014567,北海道愛別町,100,100,100,99.7,99.7,99.7,96.9,97.1,97.3
014575,北海道上川町,80.5,62.8,,77.1,79.3,81.6,79.8,79,74.6
014583,北海道東川町,,,,,,78,80,82,84
014591,北海道美瑛町,31.7,45.9,47.9,49.8,52,54.1,56.1,58.2,60.2
014605,北海道上富良野町,96,97.8,98.7,99.6,98.9,99,98.9,99,97.9
014613,北海道中富良野町,,66,68,70,72,74,76,75.3,71.9
014621,北海道南富良野町,80.2,83.3,84.4,85.5,86.3,87.2,88.1,88.6,89.5
014630,北海道占冠村,88.7,91.2,,,87.1,97.5,98.5,88,88.9
014648,北海道和寒町,69.8,71.2,73.2,75.3,77.3,79.4,81.5,83.5,85.6
014656,北海道剣淵町,70.3,72.3,74,76,77.2,77.2,79.4,80,82.2
014681,北海道下川町,,,86,88,87.2,88.6,90.8,92.4,94.8
014699,北海道美深町,,66,68,70,72,74,74,78,80
014702,北海道音威子府村,,,76,78,80,82,83,85.2,87.4
014711,北海道中川町,94.5,92.1,93,92.7,95,95.6,96.2,96.4,95.6
014729,北海道幌加内町,,75.6,77.1,78.6,80.2,81.7,83.2,84.7,86.2
014818,北海道増毛町,,93.9,95.9,97.9,99.9,99.9,99.9,100,100
014826,北海道小平町,,77.3,80.6,82.5,84.4,86.4,32.3,33.9,35.5
014834,北海道苫前町,,70.9,72.8,74.6,76.5,39.1,41.7,42.3,46.8
014842,北海道羽幌町,,,,96.3,98.1,100,100,92.7,92.4
014851,北海道初山別村,94,91.8,98.3,98.3,98.4,98.5,93.1,94.2,94.2
014869,北海道遠別町,67.5,77.7,72.5,75,83.1,80,82.5,85,87.5
014877,北海道天塩町,,77.7,79.6,81.3,83.1,83.1,85.1,78.5,78.5
015113,北海道猿払村,46,49.4,51.5,53.4,54.9,57.7,56,56.9,56.9
015121,北海道浜頓別町,,28.9,,,,,,,
