団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
011002,北海道札幌市,,60.4,61.4,59.5,49.8,48.1,51,49.7,55.1
012025,北海道函館市,,46.3,48.7,51,52.2,54.9,56.2,58.9,59.3
012033,北海道小樽市,,76.8,,,,85.4,83.5,86.1,88.8
012041,北海道旭川市,48,59.1,61.3,63.5,65.7,67.7,69.8,71.9,73.9
012050,北海道室蘭市,71.4,70.3,66.6,68.1,80.5,82.2,42.4,38.8,41.2
012068,北海道釧路市,,39.9,42.2,44.3,46.3,47.9,50,52.1,52.6
012076,北海道帯広市,,57.3,59.2,61.4,27.9,29.7,26,28,29.3
012084,北海道北見市,53.9,56.5,59,61.5,63.8,66,56.3,59.1,61.7
012092,北海道夕張市,,64.5,66.4,68.4,70.3,72.1,74,75.9,77.8
012106,北海道岩見沢市,,53,55.3,57.6,60,62.3,64.5,64.5,66.6
012114,北海道網走市,,42.3,48.6,51.1,53.7,56.2,56.2,60.7,61.3
012122,北海道留萌市,53,54.9,57.2,59.1,60.7,62.3,63.9,65.5,66.9
012131,北海道苫小牧市,45.9,47.2,49.5,53.2,55.4,58.5,58.2,63.4,68.6
012149,北海道稚内市,,75.9,77.3,78.9,57.1,55.4,57.7,59.9,53.1
012157,北海道美唄市,,57,58.1,60,39.1,60.9,61.6,64.8,67
012165,北海道芦別市,40.2,42.4,44.6,46.8,49,51.2,53,54.7,57
012173,北海道江別市,,68.3,67.6,69.2,69.3,71.2,73,73.5,74.8
012181,北海道赤平市,30.4,36.5,38.3,38.3,41.3,44.3,44.3,50.2,53.1
012190,北海道紋別市,87.9,87.9,90.1,94.3,96.4,97.5,67.6,75.6,69.6
012203,北海道士別市,79.1,79.6,80.7,81.9,83,84.1,85.3,86.4,86.4
012211,北海道名寄市,60.1,62.1,64.3,65.4,67,69,71.2,73.5,75.8
012220,北海道三笠市,71.9,75.1,77,78,78,79.1,80.1,80.9,99.3
012238,北海道根室市,59.4,61.6,63.8,66,68.2,70.4,72.6,74.8,74.7
012246,北海道千歳市,61.7,64.4,66.4,68.3,69.3,71.3,72,73.6,75.3
012254,北海道滝川市,,,27.1,32.1,32.5,34.9,21.4,24.3,27.2
012262,北海道砂川市,53.6,54.3,58.1,57.1,59.7,62.1,66.7,69.5,71.2
012271,北海道歌志内市,100,100,100,100,100,100,100,100,100
012289,北海道深川市,,59.9,,,,67.8,42.1,73.4,76.2
012297,北海道富良野市,,,31.2,33.3,35.3,37.3,37.3,41.2,41.2
012301,北海道登別市,41.2,43.4,45.5,47.6,49.6,51.5,52.8,54.7,55.8
012319,北海道恵庭市,67.8,73.5,75.3,77.1,78.8,79.7,82.3,83.3,85.6
012335,北海道伊達市,13.5,15.6,17.8,19.9,20.6,22.4,20.7,22.9,25
012343,北海道北広島市,,57.8,52.7,54.4,56.9,58.2,59.8,61.8,69.4
012351,北海道石狩市,55.3,51.3,53.8,56.2,58.6,61.1,63.5,65.4,68.4
012360,北海道北斗市,59.7,61.4,63.6,65.3,67.9,70.2,72.6,74.9,77.1
013030,北海道当別町,,71.9,73.5,74.2,74.8,75.2,76.7,74.9,76.7
013048,北海道新篠津村,67.1,60,62.1,27.1,29.2,32.5,35.7,39,42.4
013315,北海道松前町,97.3,,90.8,86,87.4,88,93.1,94.3,95.4
013323,北海道福島町,57.4,59.8,62.1,64.7,67,69.4,76.1,73.5,74.7
013331,北海道知内町,,,,,85.2,87.7,90.3,92.9,95.3
013340,北海道木古内町,50.8,54.1,57.4,60.7,58,56.6,59.3,62.1,64.5
013374,北海道七飯町,,71.7,74.3,76.2,77.7,78.7,79.8,80.9,81.9
013439,北海道鹿部町,,47.8,59.3,61.7,64.1,66.6,71.6,74,57.1
013455,北海道森町,81.9,85.7,87.6,89.6,90.7,93.4,95.3,95.3,91.7
013463,北海道八雲町,38,40.2,42.4,44.5,46.7,48.9,51.1,53.3,55.2
013471,北海道長万部町,94.6,95.2,96.1,95.2,95.9,96.5,97.1,95,95.8
013617,北海道江差町,48.9,56.7,,,,44,71.1,69.4,70.8
013625,北海道上ノ国町,91.6,,17.4,19.6,14,17.7,21.3,24.9,28.4
013633,北海道厚沢部町,55.7,54,54,58.8,61.5,64.3,67.1,69.9,72.7
013641,北海道乙部町,82.4,82.5,84.7,85.6,83.5,85.9,88.2,90.6,92.7
013676,北海道奥尻町,,,,,,,,98.8,98.8
013706,北海道今金町,100,100,82.6,1.2,2.1,6.6,9.4,12.6,15.6
013714,北海道せたな町,,79.3,83,85.5,50.9,53.8,56.8,59.7,62.2
013919,北海道島牧村,,66.9,69.4,75.5,77.7,79.9,82.1,84.3,84.3
013927,北海道寿都町,68.4,69.3,71.3,73.5,76.2,77.2,76.7,77.8,78.9
013935,北海道黒松内町,93,10.7,,19.3,23.8,28.2,32.6,44.5,51.7
013943,北海道蘭越町,72.3,72.3,76.6,58.5,61.7,65,68.2,71.4,74.6
013951,北海道ニセコ町,60.4,68.7,71,73.2,75.3,77.5,79.2,81,82.7
013960,北海道真狩村,,,,,,,,,
013978,北海道留寿都村,,,,,,,,,
013986,北海道喜茂別町,,92.1,93,92.9,93.4,93.8,44.1,50.9,57.7
013994,北海道京極町,71,49.1,51.7,54.2,56.8,59.3,61.8,64.4,66.9
014001,北海道倶知安町,60.2,61.6,,85.8,67.3,67.8,69.8,71.8,72.8
014010,北海道共和町,75.7,,,72.5,74.9,77.3,79.8,82.2,84.3
014028,北海道岩内町,57.1,,,78.5,78.4,80.8,83,84.4,85.2
014036,北海道泊村,,37.5,39.6,38.9,41,43,45.1,47.2,49.3
014044,北海道神恵内村,,,,,,,,,
014052,北海道積丹町,,,49.1,52.4,55.7,59.1,62.4,65.7,69
014061,北海道古平町,41.2,43.5,45.9,48.2,,53,53.9,57,59.2
014079,北海道仁木町,,76.1,76.1,78.3,80.5,82.7,84.8,86.7,88.9
014087,北海道余市町,75.7,,81.2,83.2,85.3,87.3,89.3,91.3,93.3
014095,北海道赤井川村,,77.5,78.3,73,75.9,78.7,76.7,79.7,81.8
014231,北海道南幌町,,37.7,42.1,45,46.6,49.4,52.4,53.9,52.4
014249,北海道奈井江町,54.8,,,59.7,62.1,64.4,59.6,55.8,60.4
014257,北海道上砂川町,78.2,82.7,84.9,87.2,89.4,91.7,93.9,96.2,98.4
014273,北海道由仁町,65.4,67.7,70,,75.3,76.4,77.2,78.9,80.2
014281,北海道長沼町,64,64,,44.5,48.5,52.5,56.1,60.1,64
014290,北海道栗山町,73.8,76.1,77.9,79.8,81.6,82.1,84.4,86.6,88.7
014303,北海道月形町,,76.4,78.6,81.7,83.4,85.2,86.5,87.6,87.7
014311,北海道浦臼町,,,,53.6,56,53.5,55.7,58.3,61
014320,北海道新十津川町,61.6,67.3,68.1,70.3,72.7,74.9,76.3,78.4,80.3
014338,北海道妹背牛町,51.1,53.1,55.4,57.5,59.7,61.9,63.5,65.8,68
014346,北海道秩父別町,,71.8,74.3,77.3,76.9,78.3,78.2,80,81.9
014362,北海道雨竜町,,78.2,78.7,,,,,90.5,92.7
014371,北海道北竜町,,71.9,75,78.1,81.2,84.3,87.4,88.9,89.7
014389,北海道沼田町,92.2,93.5,93.5,94.1,94.7,94.1,95.8,96.4,92.9
014524,北海道鷹栖町,53.6,55,57.2,54.5,57.1,59.7,59.9,62.6,65.3
014532,北海道東神楽町,50.5,48.9,,49.9,52.6,66.2,56,58.8,59.4
014541,北海道当麻町,77.6,80.1,82.2,76.8,70,80.6,83.6,85.6,87.1
014559,北海道比布町,,80.1,61.6,63.8,70,63.1,64.5,61.5,64.7
014567,北海道愛別町,57.7,57.2,61.5,57.2,60.1,63,65.9,68.7,71.6
014575,北海道上川町,58,58.5,,62.8,64.4,66,67.9,67.6,70.8
014583,北海道東川町,,,,,,,,,
014591,北海道美瑛町,78.6,99.3,99.6,30.9,100,34.8,34.9,74.4,36.5
014605,北海道上富良野町,55.9,58,59.2,60.8,62.4,61.2,63.4,65.6,67.6
014613,北海道中富良野町,,33,35.2,37.4,39.6,41.8,44,44.2,42.6
014621,北海道南富良野町,82.2,100,100,100,100,100,100,100,100
014630,北海道占冠村,,,,,100,100,100,100,100
014648,北海道和寒町,73.4,82.2,85,87.1,89.3,91.6,93.4,94.5,96.8
014656,北海道剣淵町,66.7,68.9,68.5,71,73.4,75.9,78.3,80.7,83.2
014681,北海道下川町,,,86.4,84.4,70,71.8,74.1,75.5,74.9
