団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
011002,北海道札幌市,,53,54.5,45.1,47.8,47.5,45.2,41.3,43.8
012025,北海道函館市,,63.3,72.2,73.7,79.1,80.6,58.4,61.8,64.5
012033,北海道小樽市,,26,,,,34.8,37,40,42.5
012041,北海道旭川市,52.8,55,56.1,58.3,60.6,62.8,65.1,67.3,69.6
012050,北海道室蘭市,42,44.3,43.2,50.1,,,,,
012068,北海道釧路市,,55.1,57.2,59.3,66.6,68.6,58.3,60.5,62.3
012076,北海道帯広市,,54.5,56.5,55.5,53.1,53.1,54.6,56.6,54
012084,北海道北見市,83.7,85.7,85.7,57.6,60.7,39.2,47.5,51.4,52.8
012092,北海道夕張市,,48,49.5,51.7,53.9,6.9,10.1,13.3,16.4
012106,北海道岩見沢市,,46.2,46.1,48.8,51.6,54.3,57.1,57.1,59.9
012114,北海道網走市,,65.5,72.1,56.5,56.2,52.3,35.9,28.3,46.5
012122,北海道留萌市,,,,,,,,,
012131,北海道苫小牧市,94.6,95.6,96.7,97.8,98.9,52.4,28.7,32.1,51.4
012149,北海道稚内市,,97.7,89.9,78.4,79.6,80.8,77.2,77.4,79.3
012157,北海道美唄市,,71.8,70.3,72,69.9,81.1,82.3,82.1,83.4
012165,北海道芦別市,62.9,64.4,66,67.6,69.2,70.8,67.4,62.7,64.3
012173,北海道江別市,,23.3,19,20.9,20.4,22.3,21.3,20.6,22.7
012181,北海道赤平市,56.2,64.7,66.9,69,71.2,72.5,72.5,76.9,79.1
012190,北海道紋別市,55.1,100,100,55.3,57.6,71.9,73,58.3,88.9
012203,北海道士別市,28.7,30.9,33.1,35.3,37.5,39.7,41.9,44.1,45.9
012211,北海道名寄市,97.8,96,97.1,97.4,97.6,97.9,98.1,98.3,18.3
012220,北海道三笠市,71.2,73.4,77.8,80,80,77,79.2,81.4,86.7
012238,北海道根室市,70.5,72.4,65.6,65.3,66.7,68,67.9,68.6,70.8
012246,北海道千歳市,79.8,78.3,65.9,67.1,68,68.9,85.9,87.3,59.6
012254,北海道滝川市,,,54,58.7,52.3,44.4,46.5,48.4,50.2
012262,北海道砂川市,40.3,38.7,41.9,45,46.9,45.6,48.2,50.2,51.4
012271,北海道歌志内市,99.9,99.9,100,22.9,26.3,4.4,6.6,8.8,13.2
012289,北海道深川市,,100,,,,14.8,40.8,45.4,50
012297,北海道富良野市,,,30.5,34,34,35.7,33.4,35.2,35.2
012301,北海道登別市,57.4,59.7,61.9,64.1,66,67.4,69.8,72,73.5
012319,北海道恵庭市,37.2,42.2,44.2,41.7,43.7,33.3,43,44.7,48
012335,北海道伊達市,40,41.2,32.8,44,40.5,43.9,47.2,50.4,48.2
012343,北海道北広島市,,82.1,83.2,84,84.9,85.7,83.1,84.2,85.2
012351,北海道石狩市,84.6,86.3,88,89.1,89.9,90.8,91.6,92.4,89.8
012360,北海道北斗市,,,,,,,,,
013030,北海道当別町,,68.7,70.6,72.5,74.4,76.4,78.3,100,100
013048,北海道新篠津村,75.2,57.9,60.7,64,67.2,69.5,71.9,74.4,76.8
013315,北海道松前町,76.9,,88,90.7,93.4,86.9,94,94.2,94.5
013323,北海道福島町,62.5,51.1,56.9,61.5,66.2,70.8,88.3,80,83.7
013331,北海道知内町,,,,,99,85.6,12.9,15.5,18.8
013340,北海道木古内町,,,,,,,,,
013374,北海道七飯町,,39.6,41.8,44,46.2,48.4,50.6,52.8,55
013439,北海道鹿部町,,95.5,95.7,95.9,96.1,96.2,96.7,96.9,96.7
013455,北海道森町,98.8,99.5,98.9,98.8,61.8,61.8,64.5,64.1,62.5
013463,北海道八雲町,79.5,81.9,84.3,83.9,43,46.1,49.2,52.3,55.5
013471,北海道長万部町,22,24.3,26.4,28.6,30.8,32.3,34.6,37.3,40.1
013617,北海道江差町,68.3,73.2,,,,73,78.2,80.4,82.9
013625,北海道上ノ国町,99,,93.4,94.1,96,0,3.4,6.7,10.1
013633,北海道厚沢部町,100,100,100,10,5.1,10.4,15.6,20.9,26.1
013641,北海道乙部町,75.5,77.8,80.1,82.4,73.2,74.4,77,79.7,78.6
013676,北海道奥尻町,,98.7,99.7,99,99,99.1,99.2,99.3,99.3
013706,北海道今金町,,,,,,,,,
013714,北海道せたな町,,70.7,26.9,23,26.5,29.6,33.5,35.8,39.4
013919,北海道島牧村,,100,100,100,100,91.7,92.1,92.4,92.7
013927,北海道寿都町,42.1,45.3,48.5,51.8,55.2,58.5,61.3,63.8,66.3
013935,北海道黒松内町,,,,,,,,,
013943,北海道蘭越町,74.2,74.2,77.8,85.5,87.3,89.1,90.9,92.7,78.4
013951,北海道ニセコ町,14.9,16.4,18,,,,,,
013960,北海道真狩村,69.5,,,,,34.1,37.5,41,44.4
013978,北海道留寿都村,,,,,,,,,
013986,北海道喜茂別町,,32.2,36.8,41.4,46,50.6,55.2,59.8,61.2
013994,北海道京極町,30.8,33,35.2,37.4,39.6,41.8,44,46.2,48.4
014001,北海道倶知安町,94.6,95.4,,21.7,10.2,15.4,20.4,25.5,30.5
014010,北海道共和町,65.6,,,61,61,60.2,62.2,64.1,66.1
014028,北海道岩内町,71.7,,,82.2,61.1,83.9,85.6,87,54.2
014036,北海道泊村,,6.6,8.8,11,13.2,15.1,17.6,19.5,21.8
014044,北海道神恵内村,,,81.4,83.6,76.3,79.1,85.1,87.4,89.6
014052,北海道積丹町,,,73.4,61,59.1,52.8,54,44.4,42.7
014061,北海道古平町,30,32.2,35,38,,45,48,50,53
014079,北海道仁木町,48.9,45.8,45.8,47.1,48.4,49.3,50.6,51.9,8.4
014087,北海道余市町,96.6,,96.4,96.6,96.9,94.3,94.8,95.2,95.7
014095,北海道赤井川村,,39.6,41.8,43.1,45.3,47.5,50.4,52.6,54.8
014231,北海道南幌町,,81,84,87,90,93,,,
014249,北海道奈井江町,15.4,,,19.8,22,24.2,26.4,28.6,31.4
014257,北海道上砂川町,100,100,100,0,2.8,6.1,9.5,12.5,15.8
014273,北海道由仁町,34.6,37.7,40.7,,46.8,49.9,,,
014281,北海道長沼町,36.8,36.8,,39.5,41.7,45.2,47.1,37.2,38.7
014290,北海道栗山町,89.1,,,,,,,,
014303,北海道月形町,,47.8,52,56.4,60.9,65.4,69.8,74.3,72.5
014311,北海道浦臼町,,,,3,6.6,13.7,17.3,20.7,20.7
014320,北海道新十津川町,24.3,29.7,32.4,35.1,19.2,21.9,24.6,27.3,30
014338,北海道妹背牛町,87.4,92,96.6,100,100,100,100,100,100
014346,北海道秩父別町,,69.9,73.9,77.8,81.7,85.8,86,87.1,88.2
014362,北海道雨竜町,,48.4,50.6,,,,,62.7,63.7
014371,北海道北竜町,,93.7,95.2,96.5,14.4,5.6,11.2,16.7,22.3
014389,北海道沼田町,85.8,,,,,,,,
014524,北海道鷹栖町,39.8,37.3,39,40.7,42.4,40.7,42.7,44,46.1
014532,北海道東神楽町,30.7,32.6,,38.1,40.2,38.7,21.1,24,28.4
014541,北海道当麻町,82.3,84.5,86.7,88.9,88.9,94.6,96.8,99,98.7
014559,北海道比布町,,84.5,86.7,88.9,88.9,94.6,,,
014567,北海道愛別町,41.3,41.3,43.5,49.2,51.6,53.6,55,56.5,62.8
014575,北海道上川町,73.2,77.1,,78.4,79.8,81.6,83.4,85.1,87.7
014583,北海道東川町,,,,,,22.8,25.5,28.3,31
014591,北海道美瑛町,54,50.4,52.6,54,34.9,34.7,37.7,48.4,50.1
014605,北海道上富良野町,,,,,,,,,
014613,北海道中富良野町,,,,,,,,,
014621,北海道南富良野町,94.6,39.1,11.4,17.1,22.1,29.9,34.7,39.5,44.3
014630,北海道占冠村,85.9,85.9,,,85.9,15.1,15.5,15.3,20.4
014648,北海道和寒町,73.5,70.9,70.2,72.3,71.3,70.7,69.5,68.1,71
014656,北海道剣淵町,51.1,53.9,56.7,59.4,62.2,64.9,67.4,70.2,73
014681,北海道下川町,,,26,28,28,32,34,36,34.2
014699,北海道美深町,,30.7,32.9,35.1,37.6,30.1,30.1,34.5,36.7
014702,北海道音威子府村,,,92,96.6,100,100,99.2,99.3,99.3
014711,北海道中川町,100,87.2,0.3,3.1,5.8,8.6,11.4,14.2,17
014729,北海道幌加内町,,,,,,,,,
014818,北海道増毛町,,37.3,41.6,45.9,49.8,52.7,55.6,58.4,61.3
014826,北海道小平町,,100,100,100,100,100,100,100,94.5
014834,北海道苫前町,,,,,,,,,
014842,北海道羽幌町,,,,,,,,,
014851,北海道初山別村,96.6,100,100,100,100,100,100,100,100
014869,北海道遠別町,18.9,99.2,24.3,27,97,32.4,35.1,36,38.7
014877,北海道天塩町,,99.2,97.6,96.8,97,97,91.1,74.3,74.3
015113,北海道猿払村,43.3,54.7,57.1,59.5,48.1,57.9,58.7,52,52
015121,北海道浜頓別町,,21.2,,,,,,,
015130,北海道中頓別町,,33,33,35.2,37.4,39.2,41.3,43.6,45.8
015148,北海道枝幸町,,68.3,70.5,68.7,71,72.3,74.2,13.4,16.7
015164,北海道豊富町,77.3,77.3,80.9,,,84.6,86.6,86.6,88.7
015172,北海道礼文町,32.5,35.8,39.1,41.8,45.1,48.4,51.7,54.4,56.3
015181,北海道利尻町,69.1,74.8,76.2,77.5,78.9,80.3,81.6,83,83
015199,北海道利尻富士町,,,,,,,,57.6,60
015202,北海道幌延町,9,12,15.4,18.7,21.9,25.2,28.4,31.7,
015431,北海道美幌町,,71.8,73.4,75.5,77.6,79.7,81.8,83.9,85.7
015440,北海道津別町,,,,,,,,,
015458,北海道斜里町,83,82.5,84.7,87.1,89.5,90.7,94,96.4,97.4
015466,北海道清里町,,92.3,,,94.9,94.9,99.7,95.7,94.8
015474,北海道小清水町,,86.8,87.6,86.3,86.8,88.3,82.2,84.1,86
015491,北海道訓子府町,0,12,8.1,12.3,16.5,20.7,24.9,29.1,33.3
015504,北海道置戸町,,,,,,93.3,94,94.7,95.4
015521,北海道佐呂間町,30.3,33.4,35.5,37.6,39.7,41.8,43.9,45,47
015555,北海道遠軽町,,82,,93.1,93.4,93.8,94.1,94.5,94.6
015598,北海道湧別町,51.7,60.9,54.8,59.2,63.6,72,75.5,79.5,83.4
015601,北海道滝上町,82.2,85.6,63.8,84.2,89.8,91.4,89.1,90.5,92
015610,北海道興部町,,77.1,100,100,100,100,100,94.3,96.7
015628,北海道西興部村,83.4,84.2,85.1,86,86.9,87.8,88.7,89.6,90.5
015636,北海道雄武町,,35.8,40.4,45.1,49.8,51.8,56.6,61.4,66.2
015644,北海道大空町,79.9,81.7,83.5,85.4,87,87.8,,,
015717,北海道豊浦町,18.8,22.5,13.7,6.1,8.9,11.7,14.2,17.1,19.9
015750,北海道壮瞥町,24.7,24.7,26.7,28.7,30.7,32.3,34.4,36.5,38.6
015784,北海道白老町,48.6,50.7,42.9,45.1,47.3,49,61.8,25.4,56.2
015814,北海道厚真町,46.5,32.2,25.8,30.8,35.5,40.2,44.9,47.3,52.5
015849,北海道洞爺湖町,,55.5,50.4,55.5,41.7,59.9,62,49.5,52.2
015857,北海道安平町,22,24.4,,21.8,23.9,24.9,27.8,30.6,33.5
015865,北海道むかわ町,,,,,,,95.5,96.4,97.4
016012,北海道日高町,,95.1,96.1,30.9,33,29.8,32.1,34.4,32
016021,北海道平取町,53,87,89.9,93.1,93.8,91,95,95.6,96.2
016047,北海道新冠町,10.3,12.3,14.4,16.4,18.5,20.6,21.6,23.4,25.4
016071,北海道浦河町,,100,99.9,100,100,100,100,100,100
016080,北海道様似町,,52.2,53.1,55.2,57.3,59.2,61.2,63,65
016098,北海道えりも町,,75.4,78.2,81.1,83.9,86.7,89.5,92.3,95.1
016101,北海道新ひだか町,,,,47.9,45.5,46.4,45.4,47.9,50.3
016314,北海道音更町,,51.4,53.1,55.2,57.2,59.1,61,97,97.3
016322,北海道士幌町,,66.3,69,71.6,74,,78.8,80,86.8
016331,北海道上士幌町,,67.1,5,19.3,24.4,29.5,34.5,39.9,45
016349,北海道鹿追町,,74.9,,78.1,7.4,10.9,14.3,17.8,21.2
016357,北海道新得町,,52.5,54.5,36.7,39.6,42.2,48.9,45.6,48.3
016365,北海道清水町,,74.3,76.2,77.2,31.7,35.6,39.5,41.9,29.2
016373,北海道芽室町,85.4,88.2,33.5,44.8,76.6,75.7,76.8,79.3,85.9
016381,北海道中札内村,,19.1,21,22.9,24.9,26.8,27.8,29.7,31.2
016390,北海道更別村,,55.2,31.5,32.6,37.2,41.8,46.4,51,55.6
016411,北海道大樹町,92,96.6,,,100,100,100,100,85.8
016420,北海道広尾町,,31.2,35.6,35.6,30.5,33.4,30.5,32,50.1
016438,北海道幕別町,,55.4,57.9,59.7,62.4,67.6,69.5,66.7,74.4
016446,北海道池田町,,,,,,,,,
016454,北海道豊頃町,65.4,73.2,75.3,20.2,25.1,77.8,81.3,87.3,87.5
016462,北海道本別町,,33.6,37,40.4,,42,46.2,46.2,54.6
016471,北海道足寄町,,44.3,48.7,50.2,49.7,49.8,54.4,59.3,64.3
016489,北海道陸別町,87.4,92,96.6,100,100,88.5,80.5,81.7,82.9
016497,北海道浦幌町,,,95.5,95.4,95.7,12.8,11.7,16.4,21.2
016616,北海道釧路町,,,,,,46.4,50.3,53.9,57.4
016624,北海道厚岸町,,89.6,100,79.5,80.5,93,54.2,54.2,54.2
016632,北海道浜中町,88.4,91.2,93.4,95.6,54.1,30.2,34.1,62.6,74
016641,北海道標茶町,,,75.9,76.5,77.1,79.7,80.2,80.8,81.4
016659,北海道弟子屈町,,46.4,48.7,51.2,53.3,54.3,57.7,56.5,53.7
016675,北海道鶴居村,,,,,,2.2,9.2,14.3,18.5
016683,北海道白糠町,,60.7,57.8,63.6,65.1,59.5,66.8,6.3,9.7
016918,北海道別海町,43.8,42.8,46,49.2,52.2,55,56.1,58.8,59.6
016926,北海道中標津町,,53.2,55.2,57.2,59.2,59.5,61.5,59.9,62
016934,北海道標津町,90.5,91.5,29.9,16.4,20.8,25.3,29.8,34.2,38.6
016942,北海道羅臼町,35.5,37.7,39.9,42.1,44.3,45.2,44,45.5,47.9
022012,青森県青森市,,,,,,,,,
022021,青森県弘前市,,50.6,55,59.4,91.1,,,,
022039,青森県八戸市,,,,,,,,,
022047,青森県黒石市,100,100,,,,,,,
022055,青森県五所川原市,,75.7,77.4,79.2,81,82.8,84.5,86.3,88.1
022063,青森県十和田市,,,,,,,,,
022071,青森県三沢市,,93.2,93.4,93.5,93.7,93.9,93.9,94.2,94.3
022080,青森県むつ市,,,,,,,,,
022098,青森県つがる市,83.8,87.3,84.8,86.7,88.8,90,91.4,92.8,92.8
022101,青森県平川市,,,,,,,,,
023019,青森県平内町,,100,100,100,100,100,100,100,100
023035,青森県今別町,,,,,,,,,
023043,青森県蓬田村,95.4,96.1,96.8,97.5,98.1,98.8,99.4,99.9,100
023078,青森県外ヶ浜町,,,,,,,,,
023213,青森県鰺ケ沢町,68.2,100,100,,,98.8,98.8,98.9,99.1
023230,青森県深浦町,,,,,,,,,
023434,青森県西目屋村,50.6,,100,100,100,,,,
023612,青森県藤崎町,79,79,82.8,98.9,,,,,
023621,青森県大鰐町,,,,,,,,,
023671,青森県田舎館村,,,,,,,,,
023817,青森県板柳町,,,,,,,,,
023841,青森県鶴田町,100,,,,,,,,
023876,青森県中泊町,,54.3,,,,72.4,67.4,70.3,
024015,青森県野辺地町,,,,,,,,,
024023,青森県七戸町,100,100,,,,,,,
024058,青森県六戸町,,,,,,42.1,47.1,51.7,56.7
024066,青森県横浜町,17.3,19.8,31.2,33.4,27.3,22.8,24.4,34.7,48.8
024082,青森県東北町,,,,,,,,,
024112,青森県六ケ所村,,22,24,14.6,16.4,19.3,19.3,20.3,17.7
024121,青森県おいらせ町,,,,,,,,,
024236,青森県大間町,,54.2,58.8,63.3,67.2,69.3,72.5,75.9,79.4
024244,青森県東通村,10.8,13.4,16.1,18.7,21.4,24,26.4,29.1,31.7
024252,青森県風間浦村,46.1,49.5,54.1,58.7,63.4,68,72.6,77.2,81.8
024261,青森県佐井村,,,27,27,33,36,39,42,45
024414,青森県三戸町,100,100,100,100,100,100,100,100,100
024422,青森県五戸町,45.4,45.4,47.8,50.2,52.7,55,57.3,59.6,61.9
024431,青森県田子町,100,87.3,87.6,88,88.4,88.8,89.2,89.5,89.9
024457,青森県南部町,65.7,,,81.6,,83.9,81.8,84,86.1
024465,青森県階上町,,,,,,,,,
024503,青森県新郷村,18.3,26.8,28.4,30.1,31.7,34.3,97.7,40.4,100
032018,岩手県盛岡市,,67.6,69.6,76.4,78.6,80.2,81.9,82.4,83.9
032026,岩手県宮古市,36.3,39.5,42.6,45.5,48.4,42.6,45.8,49,53
032034,岩手県大船渡市,,10.2,13.6,17,20.4,26,29.6,,
032051,岩手県花巻市,79.2,80.8,82.6,79.4,76.2,75.7,76.1,78.9,81
032069,岩手県北上市,83.7,80.1,83.9,82.7,82.6,84.5,60.9,52.1,55.5
032077,岩手県久慈市,,89.3,89.3,,,92.4,93.7,94.2,95.1
032085,岩手県遠野市,100,,100,100,100,100,100,100,100
032093,岩手県一関市,,59.6,61.6,64.2,66.4,68.6,73,74.3,76.5
032107,岩手県陸前高田市,,30.4,35.6,23.8,28.4,33,37.6,42.1,46.3
032115,岩手県釜石市,90,91.7,10.8,14,23.5,26.7,24.3,27.6,31
032131,岩手県二戸市,,80.1,68,72.9,76.1,78.6,77.3,78.8,80.6
032140,岩手県八幡平市,,80,80.7,82.7,84.7,86.6,45.1,50.9,51
032158,岩手県奥州市,,68.7,71,73.6,76.2,60.5,63.1,65.6,67.7
032166,岩手県滝沢市,52.2,54.9,57.7,60.5,63.2,,,,
033014,岩手県雫石町,,60,78.4,83.2,84.4,86.7,88.9,91.2,92.5
033022,岩手県葛巻町,80.6,82.1,83.5,84.9,86.4,87.8,89.3,90.7,53.9
033031,岩手県岩手町,52.7,65.7,69.5,71.9,71.9,74.2,76.7,79.6,82.3
033219,岩手県紫波町,,69.9,74.7,78.9,83.3,87.5,91.6,93.8,95.7
033227,岩手県矢巾町,,9.2,13.8,18.4,23,27.6,32.2,36.8,41.4
033669,岩手県西和賀町,,71.2,73.3,75.4,77.5,79.5,81.2,82.8,84.5
033812,岩手県金ケ崎町,,71.9,71.9,79.3,66.9,69.5,73.9,72.6,75
034029,岩手県平泉町,,41.5,46,50.7,55.3,58.6,63.3,68,72.4
034410,岩手県住田町,,82.9,75.7,78.5,81.3,84.2,86.4,89.2,91.3
034614,岩手県大槌町,,,,,,,,,
034827,岩手県山田町,,98.8,99.4,99.8,99.8,98.9,98.9,99.6,99.1
034835,岩手県岩泉町,41.8,44.9,,49.2,52.5,55.7,65.1,59.5,62.6
034843,岩手県田野畑村,64.4,64.4,69,73.6,78.2,82.8,87.4,92,96.6
034851,岩手県普代村,,69,73.6,78.2,82.8,87.4,88.4,93,
035017,岩手県軽米町,68.3,72.7,74.4,75.7,77,78.3,76.2,77.7,79.2
035033,岩手県野田村,,,,,,,,,
035068,岩手県九戸村,,51.3,54.9,57.7,56.7,59.9,62.8,66,69.2
035076,岩手県洋野町,,69.5,72.2,75,77.7,37.9,41.9,45.8,50.9
035246,岩手県一戸町,,25.8,26.7,31.4,28.5,33.7,31.8,48.9,48.6
041009,宮城県仙台市,,69,70.8,67.2,61.7,60.3,58.2,57.6,58.4
042021,宮城県石巻市,,39.5,42.1,42.4,47.2,49.8,52.5,44.4,46
042030,宮城県塩竈市,,76.4,75.3,77.1,76,46.7,49,43.7,46.4
042056,宮城県気仙沼市,,,,,,50.7,53.3,52.5,55.2
042064,宮城県白石市,,63.4,65.3,67.6,69.9,71.7,72.6,74.4,76.5
042072,宮城県名取市,81.8,83.8,83.1,63,64.8,67,73.2,74,66.7
042081,宮城県角田市,,53.5,57.4,61.2,65,68.9,71.3,68.8,73.3
042099,宮城県多賀城市,,54.7,56.6,58.4,55.1,52.4,54.7,57,58.7
042111,宮城県岩沼市,81.3,81.3,84.2,27.1,31.4,35.5,34.9,39.4,36.5
042129,宮城県登米市,,73.2,75.1,94.9,72.5,73.4,58.4,61,64.4
042137,宮城県栗原市,,34.1,37.4,48.7,48.7,47.3,37.3,40.8,44
042145,宮城県東松島市,43,45.9,36.8,41.7,45.4,52,55.3,58.4,56.5
042153,宮城県大崎市,,,,,,83,75.4,85.5,79.5
042161,宮城県富谷市,55.2,57.2,58.7,60.8,62.9,65,65.5,67.6,71.8
043010,宮城県蔵王町,71.8,74.1,76.5,78.8,81.1,83.5,85.8,87.9,89.1
