団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
011002,北海道札幌市,,62.4,62.1,60.6,64.5,64.8,65.2,64.6,63.7
012025,北海道函館市,,67.3,66.8,68.7,69.8,70.3,71.3,69.7,72.3
012033,北海道小樽市,,66.6,,,,59.2,66.7,61.9,62.4
012041,北海道旭川市,62.9,59.5,60.5,62.5,63.2,62.4,64.9,63.6,68.8
012050,北海道室蘭市,45.1,47.4,46.8,48,50.4,50.6,52.3,51.9,53
012068,北海道釧路市,,61,63.1,65.2,67.2,66.5,67.5,69.4,67.1
012076,北海道帯広市,,56.1,58,59.9,61.7,63,61.1,63.4,65.7
012084,北海道北見市,58.8,58.4,59.6,57.4,59.7,61.2,61.6,63.9,66.3
012092,北海道夕張市,,59.5,61.7,63.9,66.1,68.2,70.4,72.5,73.1
012106,北海道岩見沢市,,49.9,52.1,50,51.2,53.2,55.2,55.2,57.1
012114,北海道網走市,,56.6,62.8,64.9,66.9,69,69.2,73.1,75
012122,北海道留萌市,80.2,61.7,57,59,61.2,61.3,63,63.9,65.5
012131,北海道苫小牧市,57.3,58.8,58.9,57.1,58.9,54.5,60.1,60.9,56.9
012149,北海道稚内市,,72.8,74.4,76,77.5,79,80.3,81.1,81.8
012157,北海道美唄市,,72.9,74.6,76.5,83.1,77.7,78.4,78.4,77
012165,北海道芦別市,71.7,73.6,75.8,77.9,80,82,83.8,86.9,88.7
012173,北海道江別市,,53,54.7,56.4,58.2,58.6,60.2,61.4,61.9
012181,北海道赤平市,72.8,82.3,84.4,35.8,38.4,41,41,23.4,26.4
012190,北海道紋別市,70.4,70.3,77.2,76.2,78.2,80.2,77.6,78.6,72.8
012203,北海道士別市,44.2,42.4,44.3,47.3,49.5,51.8,54.1,56.1,58.4
012211,北海道名寄市,57.1,49.4,48.4,45.4,45.7,48.2,50.6,53,53.7
012220,北海道三笠市,70.1,72.3,76.7,78.8,78.8,80.8,82.7,84.4,80.7
012238,北海道根室市,50.9,51.4,52.8,54.6,56.7,57.9,57.6,60,49.2
012246,北海道千歳市,66.5,76.7,78.7,79.3,80.4,81.2,76.1,77.1,77.6
012254,北海道滝川市,,,70.7,74.9,75.4,77.2,79,80.6,82.1
012262,北海道砂川市,55.7,57.1,58.8,60.2,61.7,63.8,65.6,67.8,69.3
012271,北海道歌志内市,73.7,73.7,75.7,77.8,82.1,84.2,84.2,86.3,84.2
012289,北海道深川市,,55.8,,,,48,50.1,52.1,54.2
012297,北海道富良野市,,,54.5,56.9,59.1,60,63.1,65.4,58.8
012301,北海道登別市,70.1,61.8,62.9,63.9,63.9,64.4,65,66.4,67.2
012319,北海道恵庭市,53.7,53.4,55.4,57.1,57.1,57.8,58.5,58.5,61.8
012335,北海道伊達市,69,71.5,73.4,72.4,66.9,68.2,67,61.6,49.4
012343,北海道北広島市,,58.6,60.2,61.2,63.1,63.8,65.3,65.5,64.5
012351,北海道石狩市,64.8,66.7,68.2,69.8,67,67.7,69,70.5,71.5
012360,北海道北斗市,46.4,48.5,48.6,50.8,54.8,56.8,58.7,60.6,62.3
013030,北海道当別町,,91.8,92.1,91.8,90.1,75.6,56.6,55.6,62.1
013048,北海道新篠津村,52.8,54.1,55.5,56.8,58.2,58.7,60,61.4,62.9
013315,北海道松前町,40,,53.6,51,51.3,53.3,56.2,58.9,61.8
013323,北海道福島町,64.2,65.9,67.7,72.1,70.7,73.2,73.6,78.2,80.7
013331,北海道知内町,,,,,74.6,76.2,77.6,78.8,78.9
013340,北海道木古内町,63.8,91.9,92.6,92.1,93,70.3,72.5,83,83.1
013374,北海道七飯町,,44.8,40.5,41.7,40.1,42.4,44.6,46.9,49
013439,北海道鹿部町,,74.1,76.3,77.8,80.2,82.4,86.9,89.2,86.1
013455,北海道森町,79.9,82.1,83.3,84.4,85.6,85.6,87.7,88.2,88.9
013463,北海道八雲町,55.7,54.6,56.5,58.6,59.5,59.7,62,63.7,61.7
013471,北海道長万部町,75.8,78.6,80.1,81.7,83.3,84,85.7,87.4,89.1
013617,北海道江差町,56.5,60.7,,,,60.2,64.9,65.5,65.2
013625,北海道上ノ国町,45.2,,49.6,51.9,54.1,56.3,55,57.6,60.1
013633,北海道厚沢部町,82.4,83.6,83.6,87.8,87.7,89.6,89.8,91.7,94.9
013641,北海道乙部町,44.6,47.4,49.7,44.6,45,47.1,49.7,52.2,54.7
013676,北海道奥尻町,,63.5,66.2,69.8,66.8,57.4,49.8,68.5,64
013706,北海道今金町,51.9,52.6,57.1,58.9,57.3,59.5,60,14.7,16.8
013714,北海道せたな町,,55.1,61,60.9,63.1,65,68,69.5,71.6
013919,北海道島牧村,,75.8,71.8,71.6,73.6,72,74.4,74.8,75.3
013927,北海道寿都町,61.2,63.4,65.6,67.8,68.7,67.6,68.4,69.5,70
013935,北海道黒松内町,57.7,58.5,,64.9,67.3,69.4,71.4,50.3,53.1
013943,北海道蘭越町,21.7,21.7,26.3,27.2,29.5,31.9,35.4,37.4,39.1
013951,北海道ニセコ町,42.6,43.5,43.8,43.2,45.2,47.8,48.7,51.3,53.7
013960,北海道真狩村,74.1,,,,,80.7,82.9,85.2,87.1
013978,北海道留寿都村,,,,,,,,,
013986,北海道喜茂別町,,58.7,60.6,62.4,64.3,66.1,67.8,66.5,71.1
013994,北海道京極町,38.3,40.8,42.9,45,47.1,49.2,51.4,52.7,57.5
014001,北海道倶知安町,58.9,61.4,,68.8,69,71.6,74.2,76.6,79.1
014010,北海道共和町,65.9,,,74.5,75.6,78.1,80.1,82,83.3
014028,北海道岩内町,83,,,87.4,87.3,91,92.5,91.8,93
014036,北海道泊村,,29.8,30.6,32.8,35,37.2,31.5,34.7,38
014044,北海道神恵内村,,,94.2,88.8,78.5,77,90,92.9,93.1
014052,北海道積丹町,,,86.7,74.4,75,75,75.4,87.5,77.4
014061,北海道古平町,24.4,26.6,27.9,30.4,,35.4,37.6,39.8,42
014079,北海道仁木町,61,64.9,64.9,66.8,69,70.9,73.1,75.4,70.3
014087,北海道余市町,63.5,,68.6,70.8,72.8,74.4,76.3,78.2,78.2
014095,北海道赤井川村,,50.8,53,55.2,57,59.2,61.7,63.8,66.1
014231,北海道南幌町,,43.1,45,46.9,48.4,50.1,55.2,57.7,57
014249,北海道奈井江町,66.7,,,67.7,67.6,70.4,71.3,72.1,73.8
014257,北海道上砂川町,63.3,67.7,69.8,71.6,73.1,74.5,75.7,77,78.2
014273,北海道由仁町,62,64.1,66.1,,71.9,73.1,77.3,79.9,82.6
014281,北海道長沼町,77.6,77.6,,81.3,83.2,85.6,87.7,89.3,90.2
014290,北海道栗山町,57.1,60.1,62.1,64.1,65.8,67.4,69.5,71,70.3
014303,北海道月形町,,70,72.2,74.7,77.2,79.6,82,84.1,84.1
014311,北海道浦臼町,,,,36.6,38.9,41.1,45.5,47.9,57.5
014320,北海道新十津川町,47.6,52.1,54.2,56.2,58.3,60.3,62.3,64.4,65.4
014338,北海道妹背牛町,78.6,80.8,82.5,83.7,84.9,86.2,87.5,88.3,88.8
014346,北海道秩父別町,,51,52.9,54.9,57,58.5,59.7,62.1,64.3
014362,北海道雨竜町,,27.5,96.2,100,100,100,100,45.8,44.5
014371,北海道北竜町,,69.5,71.1,72.3,73.5,74.6,72.4,75.8,76.5
014389,北海道沼田町,36.8,20.2,20.2,23.4,26.6,23.4,31.4,34.7,36.1
014524,北海道鷹栖町,86.4,88.6,89,89.9,90.1,89.9,89.5,90.5,91.5
014532,北海道東神楽町,38.6,40.8,,40,41.6,44.7,49.1,46.4,45.7
014541,北海道当麻町,58.6,58.8,61,66.9,65.2,61.9,60.1,62.3,64.5
014559,北海道比布町,,58.8,61.2,35.6,65.2,40.4,42.8,45,40.8
