団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
011002,北海道札幌市,,55.8,57,56.6,60.9,63.1,65.4,67.5,66.9
012025,北海道函館市,,,,,,,,,
012033,北海道小樽市,,78.5,,,,84.3,85.5,82.8,84.9
012041,北海道旭川市,52.2,54.4,56.6,59.1,61.2,63.7,65.6,67.8,69.6
012050,北海道室蘭市,59.3,62,64.3,64.2,69.5,69.5,71.8,72.8,73.9
012068,北海道釧路市,,69.8,72,74.1,76.2,77.3,79.1,75.4,74.1
012076,北海道帯広市,,50.7,52.8,54.9,56.9,58.7,60.6,62.5,51.8
012084,北海道北見市,43.8,47,49.2,53.4,53.7,55.8,55.6,57,58.2
012092,北海道夕張市,,,,,,,,,
012106,北海道岩見沢市,,51.2,53.5,55.7,57.4,59.6,62.1,67.3,64.3
012114,北海道網走市,,85.3,89.6,90.9,92.3,86.6,87.1,93.3,70.9
012122,北海道留萌市,88.9,71.9,67.7,22.4,25.5,27.8,32.3,35.4,38.4
012131,北海道苫小牧市,77.3,5.1,7.1,9.1,11,13,14.9,15.2,24.9
012149,北海道稚内市,,,,,,,,,
012157,北海道美唄市,,75.4,76.8,78.6,80.4,82.5,84.5,86.8,89.1
012165,北海道芦別市,39.6,41.8,44,46.2,48.4,50.6,52.8,54.9,57.1
012173,北海道江別市,,50.2,51.3,52.3,54.1,56,57.8,59.6,59.6
012181,北海道赤平市,,85.8,,43.8,46.5,49.2,49.2,54.7,57.4
012190,北海道紋別市,36.7,36.7,41.5,37.8,40.1,42.4,45.4,47.3,43.3
012203,北海道士別市,46.4,48.5,50.6,52.7,54.7,56.8,58.9,61,63.1
012211,北海道名寄市,55.7,56,58.4,60.3,62.9,65.5,68.1,70.7,73.3
012220,北海道三笠市,36.7,38.6,42,44.1,44,42.5,44.9,47.4,49.9
012238,北海道根室市,66.5,68.9,71.3,73.7,76.1,78.5,80.9,83.2,79.2
012246,北海道千歳市,100,100,100,100,100,100,69.3,71.4,74
012254,北海道滝川市,,,,,,,,,
012262,北海道砂川市,,71.7,72.9,73.8,74.7,66.7,54.5,56.3,51.4
012271,北海道歌志内市,,56.3,58.6,60.9,63.8,65.7,65.5,67.3,65.5
012289,北海道深川市,,64.7,,,,73.1,76,78,80
012297,北海道富良野市,,,64,66.1,68.2,70.2,72.4,73.3,73.3
012301,北海道登別市,59.3,61.3,60.5,62.4,64.4,66.4,67.7,69.7,55
012319,北海道恵庭市,100,100,70.8,73.8,76.1,75.3,79.6,81.5,85.3
012335,北海道伊達市,51.9,53.4,54.9,56.3,29.3,31.5,31.2,30.5,32.6
012343,北海道北広島市,,,,,,,,,
012351,北海道石狩市,56.6,58.1,59.6,61.1,62.7,62.1,63.7,65.2,66.7
012360,北海道北斗市,,,,,,,,,
013030,北海道当別町,,31.9,34,36.2,38.3,39.9,42.1,44,45.6
013048,北海道新篠津村,,,,,,,,,
013315,北海道松前町,,,93.5,94.3,95.5,95.7,95.9,96,96.2
013323,北海道福島町,96.2,90.4,90.7,43.4,91.3,59.2,60.7,62.4,65.5
013331,北海道知内町,,,,,77.9,79.4,80.9,82.4,83.8
013340,北海道木古内町,,,,,,,,,
