団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,86.1,85.7,86.5,87.2,87.6,87.7,87.7,87.5
020001,青森県,,,85.4,85.5,87,86.7,86.7,87.6,88.6
030007,岩手県,,51.4,54.1,56.7,59.4,58.5,60.6,62.7,63.7
040002,宮城県,,,,,,,,,
050008,秋田県,,54.9,57.2,59.1,58.5,60.7,54.1,56.4,57.1
060003,山形県,,,,,,,,,
070009,福島県,99.1,99.2,99.3,99.3,99.4,99.5,99.6,99.7,99.7
080004,茨城県,,,,,,,,,
090000,栃木県,,,,,,,,,
100005,群馬県,,,,,,,,,
110001,埼玉県,,,,,,,,,
120006,千葉県,,,,,,,,,
130001,東京都,61,61.3,62.5,69.3,71.1,72.4,74,75.8,76
140007,神奈川県,,,,,,,,,
150002,新潟県,,,96.8,97.2,96.7,92,88.7,85.2,50.7
160008,富山県,,84.5,85.6,87.2,87.6,84.6,86.1,87.4,88.6
170003,石川県,,82.1,83.8,85.2,84.1,85.4,86.6,87.7,88.8
180009,福井県,,81.7,82.5,83.9,85.4,86.8,68.6,69.6,71.3
190004,山梨県,,,,,,,,,
200000,長野県,,48.2,50.3,52,53.5,55.7,58,60.2,62.5
210005,岐阜県,34.9,39.4,43.8,48.3,52.6,56.7,60.8,64.9,69
220001,静岡県,,29.1,32.5,37.7,40.3,43.3,45.6,48.7,51.7
230006,愛知県,46.8,46.9,36.9,40.1,42.8,46.2,49.5,50.4,53.6
240001,三重県,,,,,,,,,
250007,滋賀県,,,,,,,,,
260002,京都府,,,,,,,,,
270008,大阪府,,,,,,,,,
280003,兵庫県,,73.3,75.1,76.9,78.3,79.6,80.8,82.1,83.2
290009,奈良県,,,,,,18,20,21.7,23
300004,和歌山県,,71.1,74.1,75.6,77,78.5,50,51.8,53.7
310000,鳥取県,,100,100,100,100,100,100,100,93.4
320005,島根県,,,,,,,83.3,83.7,81.1
330001,岡山県,,55.4,55.6,57.6,59.5,61.4,62.8,63.7,65.4
340006,広島県,,,,,,,,,
350001,山口県,,71.1,70.5,70,72.4,74.7,77.1,79,80.8
360007,徳島県,,,0,2.5,7.4,4.4,7.2,10,12.7
370002,香川県,,,,,,,,,
380008,愛媛県,,,,,,,,,
390003,高知県,,,,,,,,,
400009,福岡県,,,,,,,,,
410004,佐賀県,,43.6,45.3,48.1,48.4,50.1,55.7,49.5,52.7
420000,長崎県,78.7,75.2,73.9,74,73.9,74.4,77.5,77.4,79.8
430005,熊本県,,,,50.9,48.3,46.5,48.6,44.7,43
440001,大分県,,75.6,77.1,76.4,76,77.8,79.4,81.2,83
450006,宮崎県,,,,,,,,,
460001,鹿児島県,,57.8,60.6,63.4,65.5,67.8,69.6,71.8,72.3
470007,沖縄県,,47.3,48.2,49.3,50.6,52.7,54.3,55.7,57.2
