団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,47.8,48.9,50.1,51.3,52.3,53.2,54.2,55.1
020001,青森県,,,38.9,45.5,47.3,49.1,50.7,50.7,52.7
030007,岩手県,,46.8,48.8,51,53.2,55.3,56.4,57.7,58.5
040002,宮城県,,52,52.4,53.3,50.7,51.6,49.7,50.9,52.3
050008,秋田県,,48.9,50.5,51.7,53.2,53.7,54.5,55.8,57
060003,山形県,,,,,,,,,
070009,福島県,49.9,51.5,53.2,54.8,56.5,58.1,59.4,61,62.6
080004,茨城県,,,,,,,,,
090000,栃木県,,66,67.5,68.9,70.2,71.7,73.2,74.6,76
100005,群馬県,,,,54.9,56.4,58,58.4,59.9,61.4
110001,埼玉県,,59.5,60.9,62.2,66.8,64.5,65.7,66.8,68.1
120006,千葉県,,69,70.4,71.7,73.2,74.4,74.7,77.5,78.7
130001,東京都,35.4,35.3,35.4,40.8,45,44.1,45.6,46.8,47.5
140007,神奈川県,,,61.4,62,63,63.9,65.4,66.5,67.4
150002,新潟県,,,56.8,58.3,59.5,60.4,61.8,63.1,64.4
160008,富山県,,62.5,64,65.5,67,68.4,69.8,71.2,72.5
170003,石川県,,42.4,44,45.5,47.1,48.7,50.3,51.8,53.4
180009,福井県,,57.9,59.1,60.8,62.5,68.4,63.8,64.6,66
190004,山梨県,42,43.5,45,46.6,47.1,48,49.3,50.7,51.3
200000,長野県,,51.8,53.3,54.5,55.7,55.6,58.2,59.2,60.7
210005,岐阜県,55.1,55.8,56.7,59.3,60.6,62,63.4,64.8,66.1
220001,静岡県,,55.2,56.4,57.5,58.6,59.6,60.5,61.3,61.7
230006,愛知県,53.3,54.6,56,57.5,58.7,60,61,62.4,63.8
240001,三重県,,54,55.5,55.2,56.9,60.3,,,
250007,滋賀県,58.6,58.2,59.7,61.2,62.5,64,65.5,66.9,
260002,京都府,,,,,67.5,68.9,70.3,71.9,73.4
270008,大阪府,,,,55.7,52.9,52.3,53.5,54.4,55.7
280003,兵庫県,,45.2,45.5,46.2,46.9,47.9,48.9,49.5,49.6
290009,奈良県,,,,,,56.7,58,59.2,60.5
300004,和歌山県,,54.6,55.3,56.8,57.9,59.5,59.8,59.1,59.5
310000,鳥取県,,66.3,67.6,68.3,68.5,69,69.8,67.9,68.6
320005,島根県,,43.3,44.2,45.1,45.6,46.4,46.5,47.7,48.2
330001,岡山県,,63.3,64.1,62.5,63.9,65.1,66,67.3,68.2
340006,広島県,,,,,,,,,
350001,山口県,,47.8,48.9,50.1,50.8,51.8,52.8,53.7,54.8
360007,徳島県,,62.2,62.3,64.1,66.1,66.6,67.1,67.7,68.8
370002,香川県,,33.6,34.3,34.9,35.7,35.6,36.6,38.3,40
380008,愛媛県,,49,49.6,50.5,51.6,53,54.4,55.9,57.4
390003,高知県,52.7,65.2,55.5,56.9,58.3,58,58.9,59.8,60.6
400009,福岡県,,55,55.7,57.1,58.5,59.9,60.9,61.9,63.3
410004,佐賀県,,52.3,53.6,54.3,56.1,58.5,60.1,61,61.9
420000,長崎県,41.5,43.2,44.9,46.6,48.2,49.8,51.4,53.3,53.5
430005,熊本県,,,,64.4,64.4,64.9,63.7,65.4,65.9
440001,大分県,,46.6,47,47.6,48.8,49.5,50.2,51.4,52.6
450006,宮崎県,,54.7,56.2,57.4,58.7,59.7,61,62.8,64
460001,鹿児島県,,49.1,50.5,51.9,52.8,53.8,54.2,54.6,56
470007,沖縄県,,44.7,46,47.2,48.3,49.3,50.4,51.4,52.2
