団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,35.4,36.9,38.6,40.2,42.3,44.2,45.9,48.1
020001,青森県,,,39.5,41.9,44.2,46.3,48.6,49.2,50.7
030007,岩手県,,61.8,63.7,65.6,67.5,69.4,71.3,73.1,74.9
040002,宮城県,,44.6,46.9,49.1,51.4,53.6,55.9,58.1,58
050008,秋田県,,36.7,38.5,40.3,42.2,44,45.8,47.7,49.5
060003,山形県,,,,,,,,,
070009,福島県,53.1,55.2,57.4,59.5,61.7,63.9,66,67.9,70.2
080004,茨城県,,,,,,,,,
090000,栃木県,,53.2,54.8,56.5,42.3,38.5,40.5,42.6,44.6
100005,群馬県,,,,21,23.2,25.3,27.1,29.3,31.5
110001,埼玉県,,54.4,55.3,57.4,58.1,61.4,63.6,63.8,63.5
120006,千葉県,,55.8,57.5,58.8,60.6,62.2,64,65.6,67.3
130001,東京都,49.9,51.6,33.4,41.6,20.2,23.2,26.2,28.9,31.9
140007,神奈川県,,,54.6,56,57.1,33.2,36.2,39.2,39.2
150002,新潟県,,,23.4,23,22.7,22.6,22.7,22.9,25
160008,富山県,,59.7,62.9,65.2,67.3,69.4,71.4,72.9,74.9
170003,石川県,,27.2,29.4,31.6,33.7,35.9,38.1,40.2,42.4
180009,福井県,,1,4.1,7,10,13,19.3,18.4,21.4
190004,山梨県,78.9,80.9,80.5,82,83.4,84.8,86.1,87.4,88.6
200000,長野県,,81.6,83.5,85.4,87.3,89.2,90.9,92.6,72.3
210005,岐阜県,68.9,52.2,52.6,46.6,48.3,51.1,54,56.8,59.7
220001,静岡県,,30.9,33.1,35.3,37.5,39.7,41.8,44.1,46
230006,愛知県,62.8,63.6,65.3,68,69.5,70.2,69.7,72.8,73.1
240001,三重県,,48.5,50.8,52.9,54.9,57.1,,,
250007,滋賀県,66.8,68.5,68.8,70.6,72.3,73.9,75.6,44,
260002,京都府,,,,,90.3,91.1,91.5,92.8,93.6
270008,大阪府,,,,68.4,70.5,72.6,74.8,76.9,80
280003,兵庫県,,47.3,27.1,29.2,31.2,33.3,35.3,37.3,38.9
290009,奈良県,,,,,,11.4,11,14.8,16.5
300004,和歌山県,,46.6,48.6,34.4,36.7,38.8,41,43.2,45.4
310000,鳥取県,,82.8,82,74.1,70.3,66.8,68.8,71.1,70.2
320005,島根県,,,,,,,56,56.7,57.6
330001,岡山県,,43.8,46.1,48.4,50.7,53,55.3,49,49.9
340006,広島県,,,,,,,,,
350001,山口県,,30.5,32.8,35,37.3,39.5,41.6,43.9,46
360007,徳島県,,,,67.2,55.1,56.2,58,59.8,61.6
370002,香川県,,55.6,58.2,72,74.7,11.7,14.7,17.3,20.9
380008,愛媛県,,80,42.6,44.6,46.6,48.7,50.7,52.8,54.8
390003,高知県,51.1,55.3,56.4,57.9,59.1,61.3,63.2,65.4,67.2
400009,福岡県,,42.1,34.7,37.2,39.7,42.2,44.6,47,49.5
410004,佐賀県,,64.8,61.2,57.2,51.1,52.5,31.5,10.1,13.6
420000,長崎県,49.2,51.4,53.2,55.5,57.5,59.8,34.1,64.4,66.7
430005,熊本県,,,,80.9,83.1,85.3,87.5,89.7,91.9
440001,大分県,,65.7,67.8,69.8,13.7,5.5,7.7,9.9,12.1
450006,宮崎県,,59.9,62.2,64.3,66.1,68.1,70.3,72.4,54.2
460001,鹿児島県,,57.3,58.6,59.9,60.8,62.1,63.4,60.4,61.7
470007,沖縄県,,50.2,52.7,55.6,57.5,59,61.1,63.3,64.8
