団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,60.2,61.4,62.8,64.8,66.3,68,69.3,71
020001,青森県,,,40.4,43.1,45.7,46.3,48.8,51.2,53.7
030007,岩手県,,40.3,42.2,44.1,46.1,48.1,50.1,52.1,48.9
040002,宮城県,,52.2,53.4,55.2,57.1,58.9,60.2,59.5,59.8
050008,秋田県,,40.5,42.8,44.5,46.4,48.3,51.3,53.2,55.1
060003,山形県,,,,,,,,,
070009,福島県,61.3,64.8,66.1,54.9,54.9,52.2,54.4,56.6,58.8
080004,茨城県,,,,,,,,,
090000,栃木県,,57.5,59.8,62.3,59.2,62.1,64.8,67.5,69.9
100005,群馬県,,,,38.5,40.6,42.4,44.6,46.5,48.5
110001,埼玉県,,76,77.5,78.9,80.2,81.6,82.9,84,78.7
120006,千葉県,,58.1,61,62.8,64.6,66.3,66.2,68.1,69.9
130001,東京都,53.2,54.7,56.3,66.5,69.2,71.6,73.5,75.8,78.2
140007,神奈川県,,,51.9,52.1,51.9,54,54.9,57.1,59.2
150002,新潟県,,,53,54.9,52.6,54.8,56.5,57.6,57.5
160008,富山県,,33.1,32.2,35.4,39.1,41.7,44.8,47.9,51.4
170003,石川県,,66.4,68.3,69.8,70.4,72.4,74.4,76.3,77.9
180009,福井県,,51.2,47.8,41.9,44.8,47.3,52,40.6,23.6
190004,山梨県,36.3,38.8,40.8,42.8,44.8,46.8,47.7,48.7,50.7
200000,長野県,,52.9,55.1,44.2,43.9,10.8,12.9,15.9,18.9
210005,岐阜県,59.8,61.8,45.1,47.8,50.3,34.9,37.9,40.9,44.1
220001,静岡県,,55.8,57.7,58.6,61.2,61.3,62.5,65.8,64.3
230006,愛知県,,,,,,,,,
240001,三重県,,6,8,10,12,14,,,
250007,滋賀県,46.9,46.9,49,50.5,52.5,52.6,55,57.3,
260002,京都府,,,,,80,81.8,83,81.6,83.3
270008,大阪府,,,,54.7,56.7,58.7,60.6,58.6,61.7
280003,兵庫県,,40.7,42.6,43.9,45.7,47.5,47.9,47.3,49.1
290009,奈良県,,,,,,15.6,12.6,15.2,18.2
300004,和歌山県,,49.5,52.4,54.1,56.1,58.1,60.1,62,64
310000,鳥取県,,84.9,87,89.1,91.1,93,95.2,96.9,97.3
320005,島根県,,,,,,,,,
330001,岡山県,,63.7,65.5,67.4,68.9,70.8,64.6,63.3,65.6
340006,広島県,,,,,,,,,
350001,山口県,,46.5,48.4,49.3,51,52.8,54.7,56.2,57.9
360007,徳島県,,75.9,77.4,73,69.9,71.6,77,82.4,87.7
370002,香川県,,36.2,37,39,40.9,42.8,44.8,46.9,48.9
380008,愛媛県,,46.1,45.5,47.6,49.6,51.7,53.7,55.7,57.8
390003,高知県,47.5,34.3,36.6,38.8,40.3,42.6,43.5,41.6,43
400009,福岡県,,44.2,45.8,46.7,48.3,50,51.7,52.6,54.3
410004,佐賀県,,61.2,61.2,62.3,64.7,66.3,66.8,68,68.8
420000,長崎県,22.1,24.1,26.1,28.1,30.1,32.1,34.1,36.1,38.1
430005,熊本県,,,,86.1,87.5,88.9,90.3,70.5,71.4
440001,大分県,,12.3,14.3,16.4,17.9,19.6,21.6,23.3,25.2
450006,宮崎県,,47.7,49.7,51.7,53.7,55.6,57.4,59.1,60.9
460001,鹿児島県,,58,59.7,61.7,62,63.3,66.6,68,70
470007,沖縄県,,28,30.5,35.9,38.2,34.6,36.9,39.1,41.2
