団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,47.5,49.2,50.6,51.9,53.2,52.2,57,58.5
020001,青森県,,,47.3,52.9,56.2,59.5,61.8,64.1,66.5
030007,岩手県,,33.4,34,33.2,33.7,34.1,34.5,36.7,39.3
040002,宮城県,,54.2,54,54.2,53.9,54.7,56.2,57.4,59.3
050008,秋田県,,72,73.4,74.7,76.2,77.1,76.4,69.9,70.9
060003,山形県,,,,,,,,,
070009,福島県,66,67,67.8,69,69.8,71,71.9,72.1,73.1
080004,茨城県,,,,,,,,,
090000,栃木県,,,,,,,,,
100005,群馬県,,,,,,,,,
110001,埼玉県,,,,,,,,,
120006,千葉県,,72.2,73.5,75.2,76.8,77.4,78.7,80.3,81.4
130001,東京都,47.9,48.7,49.4,58,59.4,58.9,60.3,61.4,62.9
140007,神奈川県,,,63.7,65.4,63.4,64.7,62.9,63.7,65.2
150002,新潟県,,,56.5,58.1,59.6,61.2,62.5,63.9,65.3
160008,富山県,,54,55,56.8,58.4,59.8,60.8,62.6,64.3
170003,石川県,,65.8,67.3,68.1,70.3,71.5,73.2,74.7,76.2
180009,福井県,,59.7,61.2,62.7,64.1,65.7,67.4,68.4,69.7
190004,山梨県,,,,,,,,,
200000,長野県,,,,,,,,,
210005,岐阜県,,,,,,,,,
220001,静岡県,,77.6,78.3,78.7,77.5,79.3,79.5,79.4,77.9
230006,愛知県,65.1,66.4,67.5,68.9,70.6,71.2,72.4,73.5,74.7
240001,三重県,,61,61.6,58.6,63.6,67.1,,,
250007,滋賀県,57.5,59.5,61.9,63.6,65.6,67.5,69.5,71.5,
260002,京都府,,,,,,,,,
270008,大阪府,,,,75.3,76.6,77.6,79,79.2,80.5
280003,兵庫県,,86.5,87.1,87.6,88.2,88.6,89.1,89.6,90.1
290009,奈良県,,,,,,,,,
300004,和歌山県,,57.7,60.6,61.1,61.4,62.6,63.9,64.4,65.5
310000,鳥取県,,56.9,58.7,60.6,62.4,63.7,65.3,66.7,68.1
320005,島根県,,52.8,54.2,56.9,59,59.9,60.7,61.6,62.7
330001,岡山県,,54,55.8,57.5,59.2,60.8,62.3,63.6,65.3
340006,広島県,,,,,,,,,
350001,山口県,,58.9,59.8,61.2,62.5,63.8,64.4,65.7,66.9
360007,徳島県,,62.9,63.9,69.8,71.9,73.1,74.5,75.2,76.6
370002,香川県,,46.2,48.1,50.2,52.1,53.3,56.1,58.8,61.4
380008,愛媛県,,61.9,63.2,59.5,60.7,61.8,63.7,65.2,66.5
390003,高知県,61,60.3,65.3,67.3,68.9,70.6,71.5,72.7,73.5
400009,福岡県,,69.2,70.4,71.9,73.2,74.6,75.6,77,78.1
410004,佐賀県,,60.5,61.7,68.2,66.2,73.3,74.6,76.3,71.4
420000,長崎県,54.9,56.9,58.8,60.7,62.4,64.1,66.1,68.2,68.9
430005,熊本県,,,,71.7,69.4,70.9,72.2,93.2,75.2
440001,大分県,,49.3,51.1,53.5,55.3,57,58.8,60.4,61.4
450006,宮崎県,,73,74.2,75.3,76.4,77.2,78,79,79.9
460001,鹿児島県,,68,69,70.6,71.9,73.1,73.5,74.7,76
470007,沖縄県,,51.8,53.2,54.8,56.2,57.6,59,60.6,62
