団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,49,51,52.2,54.2,56.3,56.5,58.7,60.9
020001,青森県,,,,,,,,,
030007,岩手県,,72.2,74.1,73.4,75.3,77.2,79.1,81,82.8
040002,宮城県,,54,53.9,55.8,57.7,59.4,61.3,62.1,65.3
050008,秋田県,,58,60.1,62.1,56.3,58.7,61.9,18.9,22.2
060003,山形県,,,,,,,,,
070009,福島県,90.1,80.6,84.7,70.6,69.9,72.9,74.6,74.9,76.6
080004,茨城県,,,,,,,,,
090000,栃木県,,52.6,54.5,56.2,48.6,51.9,55,58.2,61.4
100005,群馬県,,,,45.4,47.7,48.6,50.9,53,55.5
110001,埼玉県,,52.1,54,55.9,58,60.2,62.4,64.6,56.9
120006,千葉県,,53.1,55.4,57.8,60.1,62.5,64.4,66.8,69.2
130001,東京都,50.6,52.2,53.8,62.2,63.9,65.7,67.5,69.3,71
140007,神奈川県,,,50.6,52,53.7,55.5,57.4,58.5,60.3
150002,新潟県,,,95.5,95.7,95.7,95.8,96,71.4,72.1
160008,富山県,,59.5,61.5,63.6,66,67.6,69.6,71.6,73.6
170003,石川県,,32.8,35,37.1,39.3,41.5,43.6,45.8,47.7
180009,福井県,,41,42.9,45,47,49,51,53.6,55.5
190004,山梨県,64.8,66.8,66.7,68.6,70.7,72.7,68.4,54.4,55.7
200000,長野県,,61.2,63.6,53.4,53.9,56.2,44.4,46.7,47.4
210005,岐阜県,40.2,42.2,41.7,43.4,45.5,47.6,51.1,51.6,53.7
220001,静岡県,,37.1,39.2,41.4,43.5,45.5,47.4,49.5,51.5
230006,愛知県,54.8,58.1,59.6,60,44.2,46.7,49.1,51.5,53.7
240001,三重県,,43,45.3,47.6,51.9,54.1,,,
250007,滋賀県,43.9,46.2,48.5,50.8,53.1,55.5,57.8,60.1,
260002,京都府,,,,,52.2,54.1,56,57.9,59.8
270008,大阪府,,,,42.8,44.7,46.7,48.5,50.5,53.2
280003,兵庫県,,39.2,40.9,42.6,44.3,45.4,47.1,48.8,50.5
290009,奈良県,,,,,,44.3,45.7,45.6,47.5
300004,和歌山県,,92.8,94.6,95.9,98.1,99.6,99.7,99.7,99.8
310000,鳥取県,,41.5,43.3,45.2,44.8,45.3,45.5,47.6,50
320005,島根県,,,,,,,,,
330001,岡山県,,62.2,62.8,64.3,65.8,67.3,68.8,70.2,71.4
340006,広島県,,,,,,,,,
350001,山口県,,44.5,46.7,49,50.7,52.6,54.7,56.8,59
360007,徳島県,,61.6,63.5,65,65,66.5,68.3,70.1,71.8
370002,香川県,,55.8,55.7,57.8,60.1,62.5,62.6,65.1,67.7
380008,愛媛県,,53.2,55.5,57.5,59.4,61.5,63.5,65.5,67.5
390003,高知県,55.5,46.8,30.7,33.4,32.3,36.3,39.3,41.7,44.3
400009,福岡県,,45.6,47.7,49.8,51.8,53.8,55.9,56,58.1
410004,佐賀県,,73.3,73.3,78.8,81,83.2,85.3,87.3,89.3
420000,長崎県,31,33,35,37,39,41,43,45,47
430005,熊本県,,,,37.8,40,42.2,44.4,46.6,48.8
440001,大分県,,58.1,59.6,61.2,61,62,63.3,64.5,65.3
450006,宮崎県,,52.6,54.8,57.1,59.3,61.5,63.6,65.9,68.1
460001,鹿児島県,,36.7,38.4,39.6,41.2,43.1,44.7,46.5,48.1
470007,沖縄県,,22.8,23.5,28.9,29.1,33.4,38.1,41.7,40.2
