団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,54.2,54.5,68,65.2,67.1,68.1,63.1,65.4
020001,青森県,,,,,,,,,
030007,岩手県,,60.4,61.9,63.7,65.6,67.1,69,70.7,72
040002,宮城県,,48.3,50.1,51.1,53.6,56,56.2,58.1,60.5
050008,秋田県,,52.6,53.4,53.4,55.4,57.2,58.8,60.5,62.5
060003,山形県,,,,,,,,,
070009,福島県,47.9,53.1,52.7,53,51.4,53.1,55.5,56.5,55.9
080004,茨城県,,,,,,,,,
090000,栃木県,,40.9,41.8,42,41.9,44.2,46.2,48.5,50.8
100005,群馬県,,,,48.4,49.4,51,54.8,56.2,58.5
110001,埼玉県,,41.2,43,45.7,70.3,50.7,52.7,54.4,55.5
120006,千葉県,,75.7,59.9,61,58,60.8,62.1,63.6,65.6
130001,東京都,24.5,26.4,37,42.8,34.7,36.8,38.6,40.6,40
140007,神奈川県,,,58.4,60.3,62.2,64.2,66.2,67.7,69.7
150002,新潟県,,,72,68.9,67.9,72.9,73.8,69.7,71.6
160008,富山県,,66.4,65.3,63.7,65,66.2,66.5,68.8,70.9
170003,石川県,,75.7,76.5,77.3,78.7,79.7,81,82.3,83.3
180009,福井県,,73.2,73.9,73.9,75.7,77.6,75.7,76.4,78.3
190004,山梨県,55.2,57.3,58.6,59.1,61.2,63.2,59.2,61,61.5
200000,長野県,,77.4,73.7,73.1,75.5,68.8,69.4,71.3,66.1
210005,岐阜県,70.1,69.9,61.8,44.6,46.1,46.9,46.3,44.7,52.1
220001,静岡県,,64.6,66.5,68.2,70.1,71.7,70.9,65.9,67.8
230006,愛知県,75.2,76.9,78.6,80,80.2,81.2,81.8,82.9,84.1
240001,三重県,,70.7,72.3,74.2,76.1,77.9,,,
250007,滋賀県,60.5,61.9,63.4,58.8,62.7,64.5,65.9,62.4,
260002,京都府,,,,,,,,,
270008,大阪府,,,,,,,,,
280003,兵庫県,,56.9,43.7,44.7,45.4,46.9,51.8,53.6,54.7
290009,奈良県,,,,,,37.7,40,45.6,47.5
300004,和歌山県,,64.8,66.9,68,64.7,65.8,69.3,70.2,69.8
310000,鳥取県,,64.1,60.8,62.8,64,64.2,63.3,63.6,64.4
320005,島根県,,,,,,,,,
330001,岡山県,,66.9,69,71.1,72.9,73.6,74.1,74.7,76.2
340006,広島県,,,,,,,,,
350001,山口県,,79.6,79,80.3,81.5,82.6,79.8,61.1,60.2
360007,徳島県,,49,51.8,51.5,57.5,59.8,62,64.2,66.4
370002,香川県,,50.6,51.9,53.6,56,54.4,56.2,58.6,60.9
380008,愛媛県,,64.7,64.8,63.7,62.9,65,67,66.4,56.3
390003,高知県,59.1,60.8,59.2,60.5,61.4,63.6,65.1,66.2,68.7
400009,福岡県,,62.7,64.3,66.2,68,68.6,70.7,72.7,72.4
410004,佐賀県,,74.5,74.5,76.6,74.2,74.8,77.8,78.9,68.3
420000,長崎県,49.2,51.5,51.8,52,54.8,57.2,55.4,62.4,64.9
430005,熊本県,,,,65.7,64.2,65.5,67.4,69.1,70.8
440001,大分県,,55,54.4,56.5,54.7,56,56.3,58.1,59.4
450006,宮崎県,,64.6,66.4,68.6,70.5,72.6,73.5,75.5,77.5
460001,鹿児島県,,52.5,52.7,55,57,59.1,60.7,62.4,64.5
470007,沖縄県,,34.9,37.6,39.9,41.9,42.7,42.5,45.2,44.1
