団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,51.4,52.7,53.8,55.1,56.3,58.9,58.4,59.8
020001,青森県,,,43.7,50,54.7,58.1,62.2,60.2,62.3
030007,岩手県,,72.9,73,69,68.9,66.9,67.2,69.3,60.1
040002,宮城県,,46,47.4,47.6,47.6,47.5,47.9,44.8,46.9
050008,秋田県,,63.9,46.7,48.4,50.4,52.2,54,55.9,57.8
060003,山形県,,,,,,,,,
070009,福島県,49.7,51.7,53.8,55.8,57.8,59.8,61.3,63,65.1
080004,茨城県,,,,,,,,,
090000,栃木県,,82.3,79.5,77,73,74.2,75.5,76.7,77.8
100005,群馬県,,,,51.6,54.2,54.2,57.4,59.1,60.2
110001,埼玉県,,54.6,56.3,57.9,60,61,62.3,63.7,65.2
120006,千葉県,,43.9,44.9,46.6,48.4,49.1,51,53,54.7
130001,東京都,,0,0,0,0,0,0,0,0
140007,神奈川県,,,70.8,70.4,71.5,73.3,74.7,75.6,76.4
150002,新潟県,,,55.2,56.7,58.1,59.6,61,62.5,63.9
160008,富山県,,68.2,69.8,71.3,73.7,73.7,74.9,76.1,77.3
170003,石川県,,79.1,79.9,80.2,81.2,82.3,82.9,83.6,82.7
180009,福井県,,62.8,64.3,65.4,67,71.2,69.5,70.8,72.2
190004,山梨県,41.1,42.6,44.6,46.5,48.4,48.8,50.3,51.9,53.4
200000,長野県,,86.9,85.9,85.2,84.5,85,83.6,83.1,82.8
210005,岐阜県,50.7,52.7,54.6,57.6,59.8,61.8,62.9,64.4,66
220001,静岡県,,72.4,73.5,74.6,75.7,76.2,76.2,77.1,77.6
230006,愛知県,72.7,74,73.7,74.9,76.1,77.2,78.1,79.1,80
240001,三重県,,49.6,52,51.8,54.4,59.7,,,
250007,滋賀県,37.3,39,40.7,42.3,44.1,46,48,50,
260002,京都府,,,,,79.1,80.4,81.6,82.6,83.4
270008,大阪府,,,,62.5,58.9,60.2,61,62.2,63.2
280003,兵庫県,,47.3,47.7,49.4,50.6,51.4,52.8,53.7,54.8
290009,奈良県,,,,,,73.2,70.8,69.2,68.1
300004,和歌山県,,47.3,51.1,52.3,56.1,55.5,56.9,57.8,59.1
310000,鳥取県,,77.3,78.4,79.5,80.6,81.6,82.6,83,83.8
320005,島根県,,82.2,82.9,83.5,84.2,84.7,85,85.5,86.1
330001,岡山県,,56.8,57.7,58.8,59.8,60.7,62.3,63.7,65.2
340006,広島県,,,,,,,,,
350001,山口県,,34.4,36.6,38.7,40.7,42.6,44.2,45.9,47.5
360007,徳島県,,70,69.1,67,67.9,68.4,68.9,69.6,70.8
370002,香川県,,35.6,37.1,38.2,39.3,40.5,42.3,44.4,46.5
380008,愛媛県,,51.5,53.2,54.1,55.5,56.7,59.6,61.5,63.1
390003,高知県,66.7,67.7,69.9,71.4,72.7,72.5,73.7,74.9,76.2
400009,福岡県,,35.6,36.6,38,39.6,41.1,42.6,44,45.4
410004,佐賀県,,49.2,51.1,53.3,55.2,57,58.9,60.9,61.8
420000,長崎県,38.4,40.2,42.2,44,45.6,47.4,46.6,48.2,50.9
430005,熊本県,,,,36.1,34.9,35.6,37.5,32.1,32.9
440001,大分県,,44.7,46,47.2,48.5,49.7,51.2,52.4,53.7
450006,宮崎県,,33.8,36,38,40,41.7,43.3,44.8,46.3
460001,鹿児島県,,43,45,47.2,49.2,50.8,52.4,54,55.5
470007,沖縄県,,63.2,66.5,66.2,66,66.2,66.4,67,67.6
