団体コード,団体名,2016-03-31,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31
010006,北海道,,50.6,51.8,53.1,54.3,55.4,56.3,57.6,59
020001,青森県,,48,50.1,51.8,53.9,55.6,56.8,57.6,59.5
030007,岩手県,,52.8,53.5,53.1,53.6,53.5,53.6,54,52.2
040002,宮城県,,52.4,52.5,52.9,52.7,53.1,53.2,53.2,54.9
050008,秋田県,,58.7,50.6,52.2,53.8,55,56.5,57.5,59
060003,山形県,,61.4,62.8,64.5,65.5,66.8,68.1,70,70.6
070009,福島県,52.8,53.8,55,56.6,58.1,59.9,61.4,62.7,64.5
080004,茨城県,,,50.7,51.7,52.8,54,55.3,57.8,58.2
090000,栃木県,,65.3,65.4,65.6,64.7,64.6,65.6,66.5,67.4
100005,群馬県,,,,53.1,52.8,56.1,56.4,57.9,58.7
110001,埼玉県,,56.8,58.1,59.5,60.8,62.1,63.5,64.5,65.9
120006,千葉県,,53.4,54.9,56.6,58,59.2,60.6,62.1,63
130001,東京都,29,29.6,30.2,47.9,48.3,48.7,49.9,51,52.3
140007,神奈川県,,,71,71.7,72.5,73.6,74.6,75.5,76.4
150002,新潟県,,,56.5,57.8,59.1,60.5,61.6,63,64.3
160008,富山県,,65.6,66.9,67.7,68.4,69,69.6,70.7,71.9
170003,石川県,,67.9,69,69.6,70.8,72,73,73.7,74
180009,福井県,,58,59.1,60.5,61.2,62.6,64.2,65.4,60.1
190004,山梨県,42.9,44.4,46,47.6,48.8,50.1,51.5,52.8,54
200000,長野県,,71.2,71.2,71.2,71.1,67.9,71.5,71.8,72.3
210005,岐阜県,54.2,55.6,57,58.2,59.9,61.5,61.8,61.8,62.5
220001,静岡県,,68,68.8,69.5,70.3,70.6,70.9,71.1,71.1
230006,愛知県,66,67.3,68.4,69.3,69.9,70.9,71.7,72.5,73.2
240001,三重県,,54.2,55.9,53.2,55.2,56.9,,,
250007,滋賀県,45.8,47.1,48.5,49.9,51.4,53,54.7,55.8,
260002,京都府,,,,,75.3,76.4,77.4,78.3,79.1
270008,大阪府,53.5,54.7,56,57.2,58.5,59.9,59,60.2,60.9
280003,兵庫県,,63,63.7,64.3,64.9,65.5,66.3,66.9,67.3
290009,奈良県,,,,,,58.9,58.5,59.1,59.9
300004,和歌山県,,53.3,54.5,55.6,56.8,58.2,59.3,59.8,60.6
310000,鳥取県,,74.2,75.1,76,76.8,77.6,78.4,78.3,78.6
320005,島根県,,74.5,75.3,76.2,76.9,78.2,78.5,79,79.5
330001,岡山県,,60,61.2,62.1,51,64.1,65.3,66.6,67.4
340006,広島県,,,58.8,60.3,61.5,62.4,62.8,63.6,64.2
350001,山口県,,46.6,48.3,49.9,51.3,52.7,54.1,55.5,56.8
360007,徳島県,,56,55.9,56.8,57.8,58.3,59.1,59.9,61.1
370002,香川県,,41.2,41.8,43.3,44.1,45,45.4,46.5,48.1
380008,愛媛県,,54.1,55.3,56.6,56.1,59.3,61.1,62.3,63.5
390003,高知県,60.3,62.2,62.9,64.3,65.6,66.2,66.7,67.7,68.6
400009,福岡県,,44.4,45.3,46.7,48,49.4,50.7,51.9,53.2
410004,佐賀県,,50.9,43.6,54.6,56.6,58.5,60,59.8,60.7
420000,長崎県,50.8,51.9,53.6,55.4,57,58.7,59.3,60.5,63
430005,熊本県,,,,55.1,56.1,56.9,57.7,58.3,58.9
440001,大分県,,47.6,49,50.2,51,52.2,53.3,54.5,55.5
450006,宮崎県,,54.9,56.6,58.2,59.7,60.6,61.9,62.7,63.7
460001,鹿児島県,,53.9,55.6,57.4,59,60.5,61.9,63.2,64.6
470007,沖縄県,,52.2,53.2,54,54.9,55.8,56.6,57.8,58.9
